code,title,keywords
01.1.1,Cereals and cereal products (ND),
01.1.2,"Live animals, and meat and other parts of slaughtered land animals (ND)",
01.1.3,Fish and other seafood (ND),"fish and other seafood such as crustaceans, molluscs and other aquatic invertebrates , harvested or farmed, in fresh and marine waters, whole or in parts e g , cuts, fillets and meat, whether minced or not , including livers, roes, fins, maws, meal and other offal aquatic turtles other edible aquatic invertebrates and animals, such as sea cucumbers, sea urchins, sea squirts and jellyfish"
01.1.4,"Milk, other dairy products and eggs (ND)",
01.1.5,Oils and fats (ND),
01.1.6,Fruits and nuts (ND),
01.1.7,"Vegetables, tubers, plantains, cooking bananas and pulses (ND)",
01.1.8,"Sugar, confectionery and desserts (ND)",
01.1.9,Ready-made food and other food products (ND),
01.2.1,Fruit and vegetable juices (ND),"fruit and vegetable juices, unfermented and not containing added alcohol, whether or not they contain added sugar or other sweetening matter syrups of fruit and vegetables and concentrates of fruit and vegetables powdered juices"
01.2.2,Coffee and coffee substitutes (ND),"coffee, whether or not decaffeinated, roasted or ground, including instant coffee coffee substitutes coffee extracts, essences and concentrates coffee based beverage preparations roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof"
01.2.3,"Tea, maté and other plant-derived products for infusion (ND)","green tea, unfermented black tea, fermented and tea, mate and other plant products, partly fermented, for infusion tea substitutes and tea extracts and essences fruit and herbal teas rooibos tea instant tea iced tea"
01.2.4,Cocoa drinks (ND),cocoa and chocolate based drinks
01.2.5,Water (ND),"mineral and spring waters, still or sparkling, without added ingredients"
01.2.6,Soft drinks (ND),"soft drinks, such as sodas, lemonades and colas sparkling juices"
01.2.9,Other non-alcoholic beverages (ND),"flavoured water energy drinks, energy supplement and protein powder for drink preparation birch juice and sap and aloe vera juice and other aloe vera drinks syrups and concentrates used in beverage preparation other non alcoholic beverages"
01.3.0,Services for processing primary goods for food and non-alcoholic beverages (S),"services purchased for the processing of primary goods provided by households to produce food and non alcoholic beverages for their own final consumption cereal grinding services for flour production oil pressing services crushing and pressing services for the production of juices made from fruits and vegetables custom slaughtering of land animals, both domestic and wild, for food purposes"
