,code,title,keywords
0,01.1.1,Cereals and cereal products (ND),
1,01.1.2,"Live animals, and meat and other parts of slaughtered land animals (ND)",
2,01.1.3,Fish and other seafood (ND),"fish and other seafood such as crustaceans, molluscs and other aquatic invertebrates , harvested or farmed, in fresh and marine waters, whole or in parts e g , cuts, fillets and meat, whether minced or not , including livers, roes, fins, maws, meal and other offal aquatic turtles other edible aquatic invertebrates and animals, such as sea cucumbers, sea urchins, sea squirts and jellyfish"
3,01.1.4,"Milk, other dairy products and eggs (ND)",
4,01.1.5,Oils and fats (ND),
5,01.1.6,Fruits and nuts (ND),
6,01.1.7,"Vegetables, tubers, plantains, cooking bananas and pulses (ND)",
7,01.1.8,"Sugar, confectionery and desserts (ND)",
8,01.1.9,Ready-made food and other food products (ND),
9,01.2.1,Fruit and vegetable juices (ND),"fruit and vegetable juices, unfermented and not containing added alcohol, whether or not they contain added sugar or other sweetening matter syrups of fruit and vegetables and concentrates of fruit and vegetables powdered juices"
10,01.2.2,Coffee and coffee substitutes (ND),"coffee, whether or not decaffeinated, roasted or ground, including instant coffee coffee substitutes coffee extracts, essences and concentrates coffee based beverage preparations roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof"
11,01.2.3,"Tea, maté and other plant-derived products for infusion (ND)","green tea, unfermented black tea, fermented and tea, mate and other plant products, partly fermented, for infusion tea substitutes and tea extracts and essences fruit and herbal teas rooibos tea instant tea iced tea"
12,01.2.4,Cocoa drinks (ND),cocoa and chocolate based drinks
13,01.2.5,Water (ND),"mineral and spring waters, still or sparkling, without added ingredients"
14,01.2.6,Soft drinks (ND),"soft drinks, such as sodas, lemonades and colas sparkling juices"
15,01.2.9,Other non-alcoholic beverages (ND),"flavoured water energy drinks, energy supplement and protein powder for drink preparation birch juice and sap and aloe vera juice and other aloe vera drinks syrups and concentrates used in beverage preparation other non alcoholic beverages"
17,02.1.1,Spirits and liquors (ND),"eaux de vie, liqueurs and other spirits with a high alcohol content mead pomace brandies, such as pisco, grappa and marc aperitifs, other than wine based aperitifs"
18,02.1.2,Wine (ND),"wine, cider and perry, including sake wine based aperitifs, fortified wines, champagne and other sparkling wines ice wine low alcohol and non alcoholic wine"
19,02.1.3,Beer (ND),"all kinds of beers, such as ale, lager, stout and porter low alcohol beer and non alcoholic beer"
20,02.1.9,Other alcoholic beverages (ND),"mixed alcohol based drinks, such as soda water and mineral water based mixed alcoholic drinks alcopop shandies, cola beer and radler"
22,02.3.0,Tobacco (ND),"cigarettes, cigarette tobacco and tobacco leaf cigarette papers and single use filters which are consumed together with the cigarette cigars, pipe tobacco, chewing tobacco and snuff refills for electronic cigarettes, with or without nicotine tobacco that is consumed with a shisha or a hookah pipe if consumed at home tobacco that is purchased in bars and restaurants, provided that a service charge is not applied"
23,02.4.0,Narcotics (ND),"marijuana, opium, cocaine and their derivatives other vegetable based narcotics, such as betel leaves, betel nuts, cola nuts, kava, khat gat and psilocybin mushrooms other narcotics, including chemicals and synthetic drugs"
24,03.1.1,Clothing materials (SD),"clothing materials of natural, synthetic and mixed fibres leather, fur, fusible webbing, wadding and felt filling for making wearing apparel"
25,03.1.2,Garments (SD),"garments for men and boys, women and girls and infants, either ready to wear or made to measure, in all materials including leather, furs, plastics and rubber , for everyday wear, for sport or for work capes, overcoats, raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc shirts, blouses, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, t shirts, leotards, etc vests, underpants, socks, stockings, tights, petticoats, brassieres, knickers, slips, girdles, corsets, body stockings, etc pyjamas, nightshirts, nightdresses, housecoats, dressing gowns, bathrobes, etc traditional garments"
26,03.1.3,Other articles of clothing and clothing accessories (SD),"ties, handkerchiefs, scarves, gloves, mittens, muffs, belts, braces, aprons, smocks, bibs, sleeve protectors, hats, caps, berets, bonnets, etc sewing threads, knitting yarns and clothing accessories, such as buckles, buttons, press studs, zip fasteners, ribbons, laces, trimmings, etc working gloves"
28,03.2.1,Shoes and other footwear (SD),"all footwear for men, women, infants and children, either ready to wear or made to measure, including sports footwear suitable for everyday or leisure wear shoes for jogging, cross training, tennis, basketball, boating, etc gaiters and similar articles shoelaces and parts of footwear, such as heels, soles, etc , purchased by households with the intention of undertaking footwear repair themselves"
