,code,title,keywords
0,01.1.1.1,Cereals (ND),"dried cereal grains, whether broken or precooked steamed , not further prepared wheat rice, including parboiled rice sorghum barley millet maize corn quinoa teff bulgur rye oats triticale buckwheat canary seed quihuicha, or inca wheat canagua, or coaihua adlay or job s tears mixed cereal grains, in the form of dried grains, also including other ingredients provided that none of these is the main ingredient but not further processed"
1,01.1.1.2,Flour of cereals (ND),"flour of cereals mentioned in subclass whether instant precooked steamed or added with yeasts or not flour of cereals listed under subclass instant flour for bakery products with yeasts added polenta flour, whether instant pre steamed or not"
2,01.1.1.3,Bread and bakery products (ND),"bread and bread rolls crispbreads, rusks, toasted bread and crackers tortillas injera pizza bases without topping, whether precooked or not gingerbread and the like sweet biscuits cookies waffles and wafers ice cream cones crumpets, muffins, croissants, sweet tarts, sweet pies, and other pastry goods and cakes"
3,01.1.1.4,Breakfast cereals (ND),"cornflakes, oatmeal and oat flakes, muesli, granola and puffed cereals including puffed rice cakes breakfast cereals with nuts or dried fruit"
4,01.1.1.5,"Macaroni, noodles, couscous and similar pasta products (ND)","uncooked pasta, whether stuffed or not, and couscous uncooked dumplings, ravioli and similar products"
5,01.1.1.9,Other milled cereal and grain products (ND),mixes and doughs for the preparation of bakery products popcorn granola bars malt and malt extract cereal chips and crisps seitan and other meat substitutes made from cereals
6,01.1.2.1,Live land animals (ND),"live land animals, both domestic and wild, for human consumption as food cattle cows calves common ox, zebu or humped ox watusi, gaur, gayal, banteng and yak buffaloes indian or water buffaloes arnis, or asiatic buffaloes celebes anoas, or pygmy buffaloes african buffaloes, such as the dwarf buffalo and the large caffrarian buffalo american bisons, known simply as buffaloes european bisons and beefaloes hybrid offspring of american bisons and domestic cattle pigs goats, lambs and sheep poultry chickens, ducks, geese, turkeys and guinea fowl hares and rabbits horses, donkeys and other equines camels, dromedaries, alpaca, llamas, guanacos, vicunas and other camelids ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds snakes and other reptiles spiders, scorpions, insects and worms terrestrial snails frogs"
7,01.1.2.2,"Meat, fresh, chilled or frozen (ND)","meat of all animals, both domestic and wild, fresh, chilled or frozen meat of cattle cows calves common ox, zebu or humped ox watusi gaur gayal, banteng and yak meat of buffaloes indian or water buffaloes arnis, or wild water buffaloes asiatic buffalo or arni, sulawesi anoas, or pygmy buffaloes, african buffaloes, such as the dwarf buffalo and the large caffrarian buffalo the american bisons, known simply as buffaloes european bisons and beefaloes hybrid offspring of american bisons and domestic cattle meat of pigs meat of goats, lambs and sheep meat of poultry chickens, ducks, geese, turkeys and guinea fowl meat of hares and rabbits meat of horses, donkeys and other equines meat of camels, dromedaries, alpaca, llamas, guanacos, vicunas and other camelids meat of antelopes, deer, boars and kangaroos meat of ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds meat of snakes, alligators and other reptiles spiders, scorpions, insects, and worms not live terrestrial snails frogs minced meat of the animals listed directly above meat of seals, walruses, whales and other marine mammals"
8,01.1.2.3,"Meat, dried, salted, in brine or smoked (ND)","meat of all animals, dried, salted, in brine or smoked meat of all animals listed in , both domestic and wild, dried, salted, in brine or smoked bacon, ham and salami"
9,01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)","offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked bones pork heads, tails and ears and chicken feet"
10,01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals (ND)","preparations of meat, offal and blood, whether frozen or not sausages and similar meat, offal and blood products marinated meat canned meat, meat extracts and meat juices minced meat mix, from different types of meat all kind of pate, including liver pate breaded meat other preparations of meat, offal and blood"
11,01.1.3.1,"Fish, live, fresh, chilled or frozen (ND)","fish, live, fresh, chilled or frozen fish, live, purchased as food fish, fresh, chilled or frozen fish fillets and meat, whether minced or not, fresh, chilled or frozen"
12,01.1.3.2,"Fish, dried, salted, in brine or smoked (ND)","fish, dried, salted, in brine or smoked fish fillets and meat, dried, salted, in brine or smoked"
13,01.1.3.3,Fish preparations (ND),"prepared foodstuffs consisting of fish, whether frozen or not fillets covered only with batter or breadcrumbs, whether or not frozen canned fish surimi and other imitation crabmeat"
14,01.1.3.4,"Other seafood, live, fresh, chilled or frozen (ND)","crabs, lobsters, crayfish, krill, sea spiders, shrimp, prawns and other crustaceans, live, fresh, chilled or frozen cuttlefish squid octopuses sea snails abalone and bivalves, such as oysters, scallops, mussels, clams, cockles, ark shells and other molluscs, live, fresh, chilled or frozen sea urchins, beche de mer sea cucumbers , jellyfish and other aquatic invertebrates, live, fresh, chilled or frozen"
15,01.1.3.5,"Other seafood, dried, salted, in brine or smoked (ND)","other seafood, as listed in subclass , dried, salted, in brine or smoked"
16,01.1.3.6,Other seafood preparations (ND),"prepared foodstuffs consisting of other seafood, as listed in subclass , whether frozen or not"
17,01.1.3.7,"Livers, roes and other offal of fish and of other seafood in all forms (ND)","meal, livers, roes, fins, maws, and other offal in all product forms, i e , fresh, chilled, frozen, dried, salted, in brine or smoked, prepared or preserved"
18,01.1.4.1,Raw and whole milk (ND),"raw and whole milk of cattle and buffaloes, sheep and goats, camels and other animals, fresh, pasteurized, sterilized uht or reconstituted"
19,01.1.4.2,Skimmed milk (ND),"skimmed and semi skimmed milk of cattle and buffaloes, sheep and goats, camels and other animals"
20,01.1.4.3,Other milk and cream (ND),"other milk and cream from all animals powdered, whole or skimmed milk evaporated and condensed milk fresh, clotted, thickened and whipped cream baked milk"
21,01.1.4.4,Non-animal milk (ND),milk of non animal origin in all forms almond milk coconut milk for drinking oat milk rice milk soy milk other milk from vegetables and nuts
22,01.1.4.5,Cheese (ND),"all kinds of cheese fresh, hard, semi hard, blue cheese and cottage cheese and curd, from animal and non animal milk"
23,01.1.4.6,Yoghurt and similar products (ND),"yoghurt buttermilk and other fermented dairy products curdled milk and cream kefir and other fermented or acidified milk and cream, whether or not they are concentrated, contain added sugar or other sweetening matter, are flavoured or contain added fruits, nuts or cocoa yoghurt from non animal milk e g , coconut yoghurt and soy yoghurt"
24,01.1.4.7,Milk-based dessert and beverages (ND),"milk based desserts containing milk of animal and non animal origin milk based beverages containing milk of animal or non animal origin, flavoured with cocoa, coffee or other substances milk based puddings containing milk of animal or non animal origin, panna cotta, creme brulee and crema catalana"
25,01.1.4.8,Eggs (ND),"eggs of hens and other birds in shell, fresh eggs of other animals, including turtle eggs, in shell, fresh eggs whether in shell or not, preserved or cooked egg yolks, fresh or preserved egg albumen"
26,01.1.4.9,Other dairy products (ND),"whey and casein cream, concentrated or containing added sugar or other sweeteners and cream powder other products consisting of milk constituents, milk protein concentrates, and products obtained from whey"
27,01.1.5.1,Vegetable oils (ND),"all oils of vegetable origin, including oils extracted from fruits, nuts and other crops sunflower seed and safflower oil palm and olive oil soya bean oil groundnut oil rapeseed, colza and mustard oil corn oil cotton oil other oils of vegetable origin coconut oil avocado oil rice bran oil"
28,01.1.5.2,Butter and other oils and fats derived from milk (ND),butter butter oil ghee
29,01.1.5.3,Margarine and similar preparations (ND),margarine diet margarine
30,01.1.5.9,Other animal oils and fats (ND),"pig fat and lard, including leaves or other spices fat from cattle, buffaloes, sheep, goats and poultry greaves fat oils and fats of fish"
31,01.1.6.1,"Dates, figs and tropical fruits, fresh (ND)","dates figs avocados sweet dessert bananas mangoes, guavas and mangosteens papayas pineapples coconuts breadfruits other tropical and subtropical fruits, fresh"
32,01.1.6.2,"Citrus fruits, fresh (ND)","oranges pomelos and grapefruits lemons and limes tangerines mandarins and clementines other citrus fruits, fresh"
33,01.1.6.3,"Stone fruits and pome fruits, fresh (ND)","apples pears and quinces apricots cherries and sour cherries peaches and nectarines plums and sloes other pome fruits and stone fruits, fresh"
34,01.1.6.4,"Berries, fresh (ND)","currants and gooseberries raspberries blackberries mulberries and loganberries strawberries other berries, fresh"
35,01.1.6.5,"Other fruits, fresh (ND)","grapes kiwi fruits cantaloupes and other melons watermelons pomegranates other fruits or mixtures of fruit, fresh, n e c"
36,01.1.6.6,"Fruits, frozen (ND)","fruits cooked or uncooked, frozen, whether or not they contain added sugar or other sweetening matter"
37,01.1.6.7,"Fruits, dried and dehydrated (ND)",raisins prunes dried apricots dried coconuts other dried fruits
38,01.1.6.8,"Nuts, in shell or shelled (ND)",almonds cashew nuts chestnuts hazelnuts pistachios walnuts brazil nuts groundnuts other nuts in shell or shelled
39,01.1.6.9,"Fruits and nuts, ground, and in other preparations (ND)","fruit and nut preparations, whether frozen or not fruit flour and nut flour nuts, groundnuts and other seeds, roasted, salted or otherwise prepared canned fruit homogenized fruit preparations fruit pickles"
40,01.1.7.1,"Leafy or stem vegetables, fresh or chilled (ND)","asparagus cabbages cauliflower and broccoli lettuce and chicory spinach artichokes other leafy or stem vegetables, fresh or chilled"
41,01.1.7.2,"Fruit-bearing vegetables, fresh or chilled (ND)","chilies and peppers cucumbers and gherkins eggplants aubergines tomatoes pumpkins squash and gourds other fruit bearing vegetables, fresh or chilled"
42,01.1.7.3,"Green leguminous vegetables, fresh or chilled (ND)","beans peas broad beans and horsebeans, also known as fava beans soya beans other green leguminous vegetables, fresh or chilled"
43,01.1.7.4,"Other vegetables, fresh or chilled (ND)","carrots and turnips garlic onions leeks and other alliaceous vegetables other root, bulb and tuberous vegetables, fresh or chilled mushrooms and truffles seaweeds and other aquatic plants olives other vegetables, fresh or chilled, n e c mixtures of vegetables, fresh or chilled"
