code,title,keywords
01.1.1.1,Cereals (ND),"Dried cereal grains, whether broken or precooked (steamed), not further prepared.; wheat; rice, including parboiled rice; sorghum; barley; millet; maize (corn); quinoa; teff; bulgur; rye; oats; triticale; buckwheat; canary seed; quihuicha, or Inca wheat; canagua, or coaihua; adlay or Job’s tears; mixed cereal grains, in the form of dried grains, also including other ingredients (provided that none of these is the main ingredient) but not further processed"
01.1.1.2,Flour of cereals (ND),"Flour of cereals mentioned in subclass 01.1.1.1 whether instant (precooked – steamed – or added with yeasts) or not.; flour of cereals listed under subclass 01.1.1.1; instant flour for bakery products with yeasts added; polenta flour, whether instant (pre-steamed) or not"
01.1.1.3,Bread and bakery products (ND),"bread and bread rolls; crispbreads, rusks, toasted bread and crackers; tortillas; injera; pizza bases without topping, whether precooked or not; gingerbread and the like; sweet biscuits (cookies); waffles and wafers; ice cream cones; crumpets, muffins, croissants, sweet tarts, sweet pies, and other pastry goods and cakes"
01.1.1.4,Breakfast cereals (ND),"cornflakes, oatmeal and oat flakes, muesli, granola and puffed cereals including puffed rice cakes; breakfast cereals with nuts or dried fruit"
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products (ND)","uncooked pasta, whether stuffed or not, and couscous; uncooked dumplings, ravioli and similar products"
01.1.1.9,Other milled cereal and grain products (ND),mixes and doughs for the preparation of bakery products; popcorn; granola bars; malt and malt extract; cereal chips and crisps; seitan and other meat substitutes made from cereals
01.1.2.1,Live land animals (ND),"Live land animals, both domestic and wild, for human consumption as food.; cattle (cows; calves; common ox, zebu or humped ox; watusi, gaur, gayal, banteng and yak); buffaloes (Indian or water buffaloes; arnis, or Asiatic buffaloes; Celebes anoas, or pygmy buffaloes; African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo; American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle); pigs; goats, lambs and sheep; poultry (chickens, ducks, geese, turkeys and guinea fowl); hares and rabbits; horses, donkeys and other equines; camels, dromedaries, alpaca, llamas, guanacos, vicuñas and other camelids; ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds; snakes and other reptiles; spiders, scorpions, insects and worms; terrestrial snails; frogs"
01.1.2.2,"Meat, fresh, chilled or frozen (ND)","Meat of all animals, both domestic and wild, fresh, chilled or frozen.; meat of cattle (cows; calves; common ox, zebu or humped ox; watusi; gaur; gayal, banteng and yak); meat of buffaloes (Indian or water buffaloes; arnis, or wild water buffaloes: Asiatic buffalo or arni, Sulawesi anoas, or pygmy buffaloes, African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo the American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle); meat of pigs; meat of goats, lambs and sheep; meat of poultry (chickens, ducks, geese, turkeys and guinea fowl); meat of hares and rabbits; meat of horses, donkeys and other equines; meat of camels, dromedaries, alpaca, llamas, guanacos, vicuñas and other camelids; meat of antelopes, deer, boars and kangaroos; meat of ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds; meat of snakes, alligators and other reptiles; spiders, scorpions, insects, and worms (not-live); terrestrial snails; frogs; minced meat of the animals listed directly above; meat of seals, walruses, whales and other marine mammals"
01.1.2.3,"Meat, dried, salted, in brine or smoked (ND)","Meat of all animals, dried, salted, in brine or smoked.; meat of all animals listed in 01.1.2.2, both domestic and wild, dried, salted, in brine or smoked; bacon, ham and salami"
01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)","Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked.; bones; pork heads, tails and ears; and chicken feet"
