TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.52071
2012-M02,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.4426
2012-M03,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.59883
2012-M04,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.52071
2012-M05,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.28637
2012-M06,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,83.81767
2012-M07,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,83.89579
2012-M08,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.44312
2012-M09,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.70231
2012-M10,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.61381
2012-M11,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,84.75506
2012-M12,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,85.37871
2013-M01,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,86.23212
2013-M02,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,87.18035
2013-M03,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,86.39648
2013-M04,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,86.56728
2013-M05,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,86.04879
2013-M06,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,86.04879
2013-M07,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,86.13388
2013-M08,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,86.56716
2013-M09,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,87.2571
2013-M10,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,87.34471
2013-M11,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,87.25703
2013-M12,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,87.51881
2014-M01,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.39396
2014-M02,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.8422
2014-M03,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.39396
2014-M04,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.03536
2014-M05,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.12501
2014-M06,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.03536
2014-M07,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.03536
2014-M08,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.21466
2014-M09,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.6629
2014-M10,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.6629
2014-M11,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.39396
2014-M12,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,88.75256
2015-M01,CPI,_T,IX,CHN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,89.0215
