TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,82.38793103448276
2012-M02,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.68879310344828
2012-M03,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.34189655172413
2012-M04,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,84.81620689655172
2012-M05,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,84.0356896551724
2012-M06,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,84.20913793103448
2012-M07,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.94896551724138
2012-M08,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.68879310344828
2012-M09,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.68879310344828
2012-M10,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.86224137931033
2012-M11,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,84.0356896551724
2012-M12,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,84.38258620689655
2013-M01,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,85.94362068965518
2013-M02,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.20379310344828
2013-M03,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.72413793103448
2013-M04,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.20379310344828
2013-M05,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.11706896551723
2013-M06,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,85.68344827586208
2013-M07,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,85.51
2013-M08,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,85.85689655172413
2013-M09,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.2905172413793
2013-M10,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.63741379310345
2013-M11,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.98431034482758
2013-M12,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.24448275862069
2014-M01,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.93827586206896
2014-M02,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.37724137931033
2014-M03,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.5506896551724
2014-M04,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.20379310344828
2014-M05,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.8108620689655
2014-M06,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.63741379310345
2014-M07,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.20379310344828
2014-M08,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.46396551724138
2014-M09,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.63741379310345
2014-M10,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.89758620689655
2014-M11,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.72413793103448
2014-M12,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.33120689655172
2015-M01,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,88.11172413793103
2015-M02,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,88.19844827586206
2015-M03,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,88.63206896551723
2015-M04,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.50465517241379
2015-M05,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.33120689655172
2015-M06,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.33120689655172
2015-M07,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.50465517241379
2015-M08,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.50465517241379
2015-M09,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,87.85155172413793
2015-M10,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,88.11172413793103
2015-M11,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,88.2851724137931
2015-M12,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,88.71879310344826
2016-M01,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,88.2851724137931
2016-M02,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,89.23913793103448
2016-M03,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,89.3258620689655
2016-M04,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,90.88689655172413
2016-M05,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,91.8408620689655
2016-M06,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,91.92758620689655
2016-M07,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,92.27448275862069
2016-M08,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,92.70810344827586
2016-M09,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,92.79482758620689
2016-M10,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,92.27448275862069
2016-M11,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,92.10103448275862
2016-M12,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,92.18775862068965
2017-M01,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,94.26913793103448
2017-M02,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,94.18241379310345
2017-M03,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,94.35586206896551
2017-M04,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,94.61603448275862
2017-M05,CPI,_T,IX,FJI,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,94.09568965517241
