TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,66.46202
2012-M02,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,66.49249
2012-M03,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,66.53819
2012-M04,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,66.67527
2012-M05,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,66.72097
2012-M06,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,67.13731
2012-M07,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,67.6095
2012-M08,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,68.25432
2012-M09,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,68.26447
2012-M10,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,68.37617
2012-M11,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,68.42187
2012-M12,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,68.79251
2013-M01,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,69.20621
2013-M02,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,69.69206
2013-M03,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,70.02271
2013-M04,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,70.05644
2013-M05,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,70.12392
2013-M06,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,70.8392
2013-M07,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,72.97827
2013-M08,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,73.70029
2013-M09,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,73.5181
2013-M10,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,73.65306
2013-M11,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,73.77452
2013-M12,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,74.10517
2014-M01,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,74.89467
2014-M02,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,75.09036
2014-M03,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,75.15109
2014-M04,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,75.1376
2014-M05,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,75.25906
2014-M06,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,75.58295
2014-M07,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,76.28474
2014-M08,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,76.64237
2014-M09,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,76.85155
2014-M10,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,77.20919
2014-M11,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,78.36983
2014-M12,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,80.29972
2015-M01,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,80.10403
2015-M02,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,79.81387
2015-M03,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,79.94883
2015-M04,CPI,_T,IX,IDN,M,true,2022A,OL,0,PUBLIC_OPEN,PUB,80.23899
