TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.5
2012-M02,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.7
2012-M03,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.1
2012-M04,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.2
2012-M05,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.9
2012-M06,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.4
2012-M07,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.1
2012-M08,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.3
2012-M09,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.4
2012-M10,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.4
2012-M11,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.1
2012-M12,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.1
2013-M01,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.2
2013-M02,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.0
2013-M03,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.2
2013-M04,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.5
2013-M05,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.6
2013-M06,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.6
2013-M07,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.8
2013-M08,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.1
2013-M09,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.4
2013-M10,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.5
2013-M11,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.5
2013-M12,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.6
2014-M01,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.5
2014-M02,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.5
2014-M03,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.7
2014-M04,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.7
2014-M05,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2014-M06,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.0
2014-M07,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2014-M08,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.3
2014-M09,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.5
2014-M10,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.2
2014-M11,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.9
2014-M12,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.9
2015-M01,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.8
2015-M02,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.6
2015-M03,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.9
2015-M04,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.4
2015-M05,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.7
2015-M06,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.4
2015-M07,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.3
2015-M08,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.4
2015-M09,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.5
2015-M10,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.5
2015-M11,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2015-M12,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2016-M01,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.7
2016-M02,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.8
2016-M03,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.9
2016-M04,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2016-M05,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.2
2016-M06,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2016-M07,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.9
2016-M08,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,97.9
2016-M09,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.0
2016-M10,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.6
2016-M11,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.6
2016-M12,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.4
2017-M01,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.2
2017-M02,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2017-M03,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.1
2017-M04,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.5
2017-M05,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.6
2017-M06,CPI,_T,IX,JPN,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,98.5
