TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.242
2012-M02,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.588
2012-M03,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.614
2012-M04,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.605
2012-M05,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.769
2012-M06,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.639
2012-M07,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.432
2012-M08,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,91.855
2012-M09,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.512
2012-M10,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.339
2012-M11,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.011
2012-M12,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.175
2013-M01,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.728
2013-M02,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.038
2013-M03,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.952
2013-M04,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.823
2013-M05,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.823
2013-M06,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.71
2013-M07,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,92.909
2013-M08,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.238
2013-M09,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.419
2013-M10,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.134
2013-M11,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.116
2013-M12,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.229
2014-M01,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.73
2014-M02,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,93.98
2014-M03,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.153
2014-M04,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.214
2014-M05,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.369
2014-M06,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.248
2014-M07,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.386
2014-M08,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.551
2014-M09,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.49
2014-M10,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.205
2014-M11,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.015
2014-M12,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.006
2015-M01,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.643
2015-M02,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.587
2015-M03,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.596
2015-M04,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.625
2015-M05,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.89
2015-M06,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.909
2015-M07,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.08
2015-M08,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,95.213
2015-M09,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.966
2015-M10,CPI,_T,IX,KOR,M,true,2020A,OL,0,PUBLIC_OPEN,PUB,94.966
