TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,86.477320355564
2012-M02,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,86.7334104309968
2012-M03,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,87.51290702762189
2012-M04,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,88.60038713410565
2012-M05,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,88.93941279937393
2012-M06,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,88.98928122546917
2012-M07,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,88.77276027120632
2012-M08,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,89.47039519130146
2012-M09,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,90.09524906965108
2012-M10,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,90.20380257139635
2012-M11,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,90.10036959525439
2012-M12,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,90.75341944949264
2013-M01,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,91.40346235026239
2013-M02,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,91.96709174778863
2013-M03,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,92.59093439331615
2013-M04,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,93.43244024750213
2013-M05,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,94.00884218173945
2013-M06,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,94.55728534030246
2013-M07,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,95.37177045763218
2013-M08,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,95.57984649214606
2013-M09,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,96.28198845671811
2013-M10,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,96.26912216082485
2013-M11,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,96.35774532541816
2013-M12,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,96.78893209499786
2014-M01,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,96.87979979255007
2014-M02,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,97.16947714227418
2014-M03,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,97.51713717351652
2014-M04,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,98.33647361562457
2014-M05,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,98.45603364654528
2014-M06,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,98.5808043533323
2014-M07,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,98.90320640351729
2014-M08,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,99.03605801213462
2014-M09,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,99.2145648501161
2014-M10,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,99.18725447497094
2014-M11,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,99.06825223363204
2014-M12,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,99.11118208628739
2015-M01,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,98.85696724514435
2015-M02,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,98.56756652562707
2015-M03,CPI,_T,IX,LAO,M,true,2015M12,OL,0,PUBLIC_OPEN,PUB,98.67762301013497
