TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,83.99579316389134
2012-M02,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,84.08098159509204
2012-M03,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,84.25135845749344
2012-M04,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,84.84767747589835
2012-M05,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,84.76248904469765
2012-M06,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,85.10324276950045
2012-M07,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,85.35880806310254
2012-M08,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.04031551270816
2012-M09,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.04031551270816
2012-M10,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.04031551270816
2012-M11,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.04031551270816
2012-M12,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,85.95512708150746
2013-M01,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.38106923751097
2013-M02,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.55144609991237
2013-M03,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.55144609991237
2013-M04,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.72182296231377
2013-M05,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,86.72182296231377
2013-M06,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,87.23295354951799
2013-M07,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,87.40333041191938
2013-M08,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,87.57370727432078
2013-M09,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,87.9996494303243
2013-M10,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,88.08483786152499
2013-M11,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,88.51078001752849
2013-M12,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,89.1922874671341
2014-M01,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,89.61822962313761
2014-M02,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,89.70341805433831
2014-M03,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,89.61822962313761
2014-M04,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,89.87379491673971
2014-M05,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,90.21454864154252
2014-M06,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,90.55530236634532
2014-M07,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,91.06643295354954
2014-M08,CPI,_T,IX,PHL,M,true,2018A,OL,0,PUBLIC_OPEN,PUB,91.23680981595093
