TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2014-M01,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,95.91403795811519
2014-M02,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,98.52864856020943
2014-M03,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,98.78167539267017
2014-M04,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,102.6951570680628
2014-M05,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,102.4252617801047
2014-M06,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,102.0372873036649
2014-M07,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,101.4637598167539
2014-M08,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,99.4058082460733
2014-M09,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,99.87812500000001
2014-M10,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,99.16964986910995
2014-M11,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,97.76956806282723
2014-M12,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,97.0273560209424
2015-M01,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,98.30935863874346
2015-M02,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,96.92614528795812
2015-M03,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,97.09482984293194
2015-M04,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,97.1454352094241
2015-M05,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,96.97675065445027
2015-M06,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,98.39370091623037
2015-M07,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,99.89499345549739
2015-M08,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,100.8396269633508
2015-M09,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,100.097414921466
2015-M10,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,101.0589168848168
2015-M11,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,101.0420484293194
2015-M12,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,100.451652486911
2016-M01,CPI,_T,IX,SLB,M,true,2017A,OL,0,PUBLIC_OPEN,PUB,101.1432591623037
