TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,83.60352093232308
2012-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,84.08864774624371
2012-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.3014647810453
2012-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.1908639398998
2012-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.59513628483367
2012-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.27171840888658
2012-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.86744606395271
2012-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.46317371901885
2012-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.13975584307175
2012-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.22061031205853
2012-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.13975584307175
2012-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.86744606395271
2013-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,84.93269021860034
2013-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.04792354347975
2013-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.94830053293948
2013-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.59513628483367
2013-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.5142818158469
2013-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.43342734686011
2013-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.02915500192626
2013-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.1908639398998
2013-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.35257287787336
2013-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.43342734686011
2013-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.6248826569924
2013-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.59513628483367
2014-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,88.53564354051622
2014-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,89.02077035443685
2014-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,90.0718784512649
2014-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,89.99102398227814
2014-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,89.10162482342363
2014-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.72709885064849
2014-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.64624438166172
2014-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,88.2930801335559
2014-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.24197203672784
2014-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.08026309875432
2014-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.16111756774109
2014-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.75684522280721
2015-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,88.61649800950299
2015-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.9696622576088
2015-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,86.43342734686011
2015-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,88.61649800950299
2015-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,88.53564354051622
2015-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.88880778862203
2015-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,89.02077035443685
2015-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.48453544368817
2015-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.6248826569924
2015-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.94830053293948
2015-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.54402818800563
2015-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,85.78659159496594
2016-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.4036809747014
2016-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.72709885064849
2016-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.64624438166172
2016-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.80795331963526
2016-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,87.64624438166172
2016-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,88.05051672659557
2016-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,90.55700526518554
2016-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,91.93153123796067
2016-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,91.68896783100035
2016-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,91.20384101707972
2016-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,91.2846954860665
2016-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,91.52725889302681
2017-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,92.09324017593423
2017-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,95.48912787337868
2017-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,95.89340021831254
2017-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,96.37852703223318
2017-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,96.70194490818027
2017-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,97.42963512906123
2017-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,97.18707172210091
2017-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,97.02536278412737
2017-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,96.9445083151406
2017-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,96.78279937716704
2017-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,96.30138461538459
2017-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,97.01699999999997
2018-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,97.83484615384612
2018-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,98.85715384615382
2018-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,100.5950769230769
2018-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,100.7995384615384
2018-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,100.1861538461538
2018-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,100.1861538461538
2018-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.741923076923
2018-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.8441538461538
2018-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.2307692307692
2018-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.9463846153846
2018-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.5374615384615
2018-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.6173846153846
2019-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.9240769230769
2019-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.1285384615384
2019-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.6396923076923
2019-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,100.9017692307692
2019-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.8218461538461
2019-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.0263076923077
2019-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.2307692307692
2019-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.741923076923
2019-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.6396923076923
2019-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,103.1508461538461
2019-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.6396923076923
2019-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.8441538461538
2020-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.5374615384615
2020-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.8441538461538
2020-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,103.0486153846154
2020-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,102.2307692307692
2020-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.8218461538461
2020-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,100.5950769230769
2020-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.1062307692307
2020-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.004
2020-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.6173846153846
2020-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.5151538461538
2020-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,101.9240769230769
2020-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,103.1508461538461
2021-M01,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,103.8664615384615
2021-M02,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,105.0932307692307
2021-M03,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,106.4222307692307
2021-M04,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,106.8311538461538
2021-M05,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,106.6266923076923
2021-M06,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,107.5467692307692
2021-M07,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,107.9556923076923
2021-M08,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,108.1601538461538
2021-M09,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,108.2623846153846
2021-M10,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,108.7735384615384
2021-M11,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,110.2047692307692
2021-M12,CPI,_T,IX,TON,M,true,2021M9,OL,0,PUBLIC_OPEN,PUB,112.6583076923077
