TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,77.00416129179223
2012-M02,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,78.05911830148985
2012-M03,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,78.18401289077218
2012-M04,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,78.22310489721757
2012-M05,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,78.36390648603256
2012-M06,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,78.16016032916885
2012-M07,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,77.93349586421427
2012-M08,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,78.42447688815885
2012-M09,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,80.1498153796983
2012-M10,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,80.8310888104257
2012-M11,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,81.2109949278347
2012-M12,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,81.43026461413993
2013-M01,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,82.44814292181663
2013-M02,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.53645840838462
2013-M03,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.37773913740864
2013-M04,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.39441468523619
2013-M05,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.344378036425
2013-M06,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.38605022544321
2013-M07,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,83.61119256105191
2013-M08,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,84.30516545930864
2013-M09,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,85.1988002131773
2013-M10,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,85.61627433422188
2013-M11,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,85.90736966695827
2013-M12,CPI,_T,IX,VNM,M,true,2019A,OL,0,PUBLIC_OPEN,PUB,86.34549725225972
