TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,IFS_FLAG,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,value
2012-M01,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.833180568286
2012-M02,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.7250229147571
2012-M03,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.54170485792851
2012-M04,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.3748854262145
2012-M05,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.26672777268561
2012-M06,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.5499541704858
2012-M07,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.3666361136572
2012-M08,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.083409715857
2012-M09,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,96.24197983501375
2012-M10,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,96.51695692025665
2012-M11,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,96.05866177818515
2012-M12,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,96.33363886342805
2013-M01,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.5582034830431
2013-M02,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,104.1246562786434
2013-M03,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,102.1998166819432
2013-M04,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.916590284143
2013-M05,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.0916590284143
2013-M06,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.80843263061412
2013-M07,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.71677360219982
2013-M08,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.25847846012833
2013-M09,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.53345554537123
2013-M10,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,97.25022914757103
2013-M11,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,96.51695692025665
2013-M12,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,97.15857011915674
2014-M01,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.25847846012833
2014-M02,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,97.80018331805684
2014-M03,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.35838680109993
2014-M04,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.25847846012833
2014-M05,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.44179651695693
2014-M06,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.99175068744272
2014-M07,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.62511457378552
2014-M08,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.44179651695693
2014-M09,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.25847846012833
2014-M10,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.0
2014-M11,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.0916590284143
2014-M12,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,102.749770852429
2015-M01,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,102.0164986251146
2015-M02,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.8249312557287
2015-M03,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.7250229147571
2015-M04,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.0082493125573
2015-M05,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.083409715857
2015-M06,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.35838680109993
2015-M07,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.916590284143
2015-M08,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,98.44179651695693
2015-M09,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,97.34188817598535
2015-M10,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.17506874427133
2015-M11,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.6333638863428
2015-M12,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.3666361136572
2016-M01,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,104.3996333638864
2016-M02,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.0
2016-M03,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.60252834971718
2016-M04,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,99.46152202174827
2016-M05,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.2449608216822
2016-M06,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.5953341226416
2016-M07,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,103.4347283908095
2016-M08,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.6643219597549
2016-M09,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.3232180335968
2016-M10,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.5167788961172
2016-M11,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.1779351759142
2016-M12,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.1
2017-M01,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.5102249876276
2017-M02,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.6442814913501
2017-M03,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.9991481312316
2017-M04,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,100.7267280141879
2017-M05,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,101.6985233326204
2017-M06,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,102.6331373768899
2017-M07,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,103.3972543778389
2017-M08,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,104.2910409589729
2017-M09,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,103.6120888716456
2017-M10,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,104.2701641784203
2017-M11,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,104.9906427322299
2017-M12,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,104.983090843863
2018-M01,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,105.739377413732
2018-M02,CPI,_T,IX,WSM,M,true,2016M02,OL,0,PUBLIC_OPEN,PUB,105.3075438814207
