date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2017-07-01,2017-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,0.0,0.0,842.6862048100244,1948.850153134364,0.0,0.0,0.0,0.0,46.55848428123059,113.58581691741969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,22.156784910350606,56.49700740010961,0.0,0.0,146.60796219327648,313.553286160543,0.0,0.0,0.0,0.0
2018-07-01,2018-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.01275831763999,201.93034118652386,156.14344992897261,425.7932257684875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,49.9777103240991,150.6586864002923,0.0,0.0,110.23155052126049,278.71403214270487,0.0,0.0,239.15556325973594,794.0046567754403
2018-08-01,2018-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5152207130216,113.58581691741969,143.882763329469,239.50868949477422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,76.75560592500209,141.24251850027403,146.04713297812967,258.2441500821081,0.0,0.0,376.83535427264195,571.1459086420846,0.0,0.0
2018-09-01,2018-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.37530597546743,166.5925314788822,306.14858241602,510.951870922185,568.1738959888329,1198.312568723403,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,81.65891244600958,150.6586864002923,155.37692525683082,275.4604267542486,0.0,0.0,400.9083744473071,609.2223025515569,0.0,0.0
2018-10-01,2018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.583979525515794,100.96517059326193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,30.39802807822491,75.32934320014616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.11713146458115,129.8123621913368,171.15724319137385,182.4828110436375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,660.2928883429215,985.2532022926852,109.56651878744803,129.13601691453624,173.7318917020059,196.75744768160615,60.41536903569086,59.724435459151046,0.0,0.0,0.0,0.0
2018-12-01,2018-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.86066400840227,56.792908458709846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,68.17472280107877,150.6586864002923,0.0,0.0,56.38767776664479,104.51776205351433,418.38386769244613,761.5278781894461,0.0,0.0
2019-01-01,2019-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.21490149531205,173.71948469723011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,86.54994105605704,132.93413505908143,0.0,0.0,171.80620569524584,221.33173140744213,0.0,0.0,0.0,0.0
2019-02-01,2019-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.40439695793026,129.8123621913368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,107.84275841321089,177.56202325748734,373.0879562214168,590.2723430448184,129.7415594630765,179.17330637745314,0.0,0.0,0.0,0.0
2019-03-01,2019-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.38072892623232,170.37872537612952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,113.62453800179797,169.49102220032884,180.1664062094876,258.2441500821081,125.305950592544,156.7766430802715,0.0,0.0,0.0,0.0
2019-04-01,2019-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.96913246933428,151.4477558898929,631.4314512330413,766.4278063832776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,89.82480369061055,120.52694912023385,0.0,0.0,74.294575435782,83.61420964281147,0.0,0.0,0.0,0.0
2019-05-01,2019-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.26754268675498,138.82710956573519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,4200.0,,,0.0,0.0,108.28503903554804,163.21357693365,0.0,0.0,110.23155052126049,139.35701607135243,0.0,0.0,0.0,0.0
2019-06-01,2019-6,0.0,0.0,316.7993251165505,299.82310048220984,0.0,0.0,0.0,0.0,157.52870621468998,157.27266957796573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,108.28503903554804,112.99401480021922,0.0,0.0,0.0,0.0,408.9466375941202,351.4744053182059,0.0,0.0
2019-07-01,2019-7,0.0,0.0,300.24449102494935,259.84668708458184,835.5291303147643,968.1975935082254,0.0,0.0,116.1197351432117,106.01342912292505,147.98393473078403,127.73796773054625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,570.8945637929297,689.6772416048797,173.67551117376954,165.72455504032152,300.41999325192467,275.4604267542486,208.94246393341064,167.22841928562295,0.0,0.0,453.31624579873943,476.4027940652642
