date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_caixin_global_body_count,china_caixin_global_epu_count,china_caixin_global_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_caixin_global_weights,china_people_s_daily_online_weights,china_daily_z_score,china_caixin_global_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2015-06-01,2015-6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2015-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2015-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2015-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2015-11-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2015-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-06-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0
2016-09-01,2016-9,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-10-01,2016-10,0.0,0.0,0.0,23.0,1.0,0.043478260869565216,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.6902230078050319,,0.34511150390251594,0.6902230078050319,57.43984168480224,36.92337161524364
2016-11-01,2016-11,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-12-01,2016-12,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-01-01,2017-1,25.0,1.0,0.04,36.0,7.0,0.19444444444444445,0.0,0.0,0.0,61.0,0.4098360655737705,0.5901639344262295,0.0,1.4277500239331995,3.0868306737947258,,2.257290348863963,2.4068795877859035,200.29871637639792,241.50678679824628
2017-02-01,2017-2,13.0,1.0,0.07692307692307693,37.0,6.0,0.16216216216216217,0.0,0.0,0.0,50.0,0.26,0.74,0.0,2.7456731229484608,2.5743452723539026,,2.6600091976511817,2.6188905135084877,217.94210680419644,284.59355018366466
2017-03-01,2017-3,18.0,1.0,0.05555555555555555,44.0,7.0,0.1590909090909091,0.0,0.0,0.0,62.0,0.2903225806451613,0.7096774193548387,0.0,1.9829861443516659,2.5255887331047755,,2.2542874387282206,2.3680589492732276,197.0680919187141,241.18550638419055
2017-04-01,2017-4,196.0,9.0,0.04591836734693878,40.0,3.0,0.075,0.0,0.0,0.0,236.0,0.8305084745762712,0.1694915254237288,0.0,1.638998751964132,1.19063468846368,,1.414816720213906,1.5630048428962589,130.0720922271838,151.37079737183862
2017-05-01,2017-5,228.0,8.0,0.03508771929824561,32.0,2.0,0.0625,0.0,0.0,0.0,260.0,0.8769230769230769,0.12307692307692308,0.0,1.2524123016957889,0.9921955737197333,,1.122303937707761,1.2203856274833513,101.55957776599158,120.07494646988151
2017-06-01,2017-6,220.0,12.0,0.05454545454545454,35.0,0.0,0.0,0.0,0.0,0.0,255.0,0.8627450980392157,0.13725490196078433,0.0,1.9469318508179991,0.0,,0.9734659254089996,1.6797059105096463,139.78386765680534,104.15081419252422
2017-07-01,2017-7,181.0,9.0,0.049723756906077346,37.0,2.0,0.05405405405405406,0.0,0.0,0.0,218.0,0.8302752293577982,0.16972477064220184,0.0,1.774827377817513,0.8581150907846343,,1.3164712343010736,1.6192385951559694,134.75182296727027,140.84884466386126
2017-08-01,2017-8,150.0,3.0,0.02,35.0,4.0,0.11428571428571428,0.0,0.0,0.0,185.0,0.8108108108108109,0.1891891891891892,0.0,0.7138750119665997,1.8143004776589409,,1.2640877448127703,0.9220636135840699,76.7334432330981,135.2443515449469
2017-09-01,2017-9,200.0,6.0,0.03,39.0,2.0,0.05128205128205128,0.0,0.0,0.0,239.0,0.8368200836820083,0.16317991631799164,0.0,1.0708125179498995,0.8141091886931145,,0.9424608533215071,1.0289236901632275,85.6262587604334,100.83359124950903
2017-10-01,2017-10,322.0,2.0,0.006211180124223602,38.0,7.0,0.18421052631578946,0.0,0.0,0.0,360.0,0.8944444444444445,0.10555555555555556,0.0,0.2217003142753415,2.92436590148974,,1.5730331078825408,0.5069816818146391,42.190635796298295,168.2983190900385
2017-11-01,2017-11,193.0,4.0,0.02072538860103627,49.0,2.0,0.04081632653061224,0.0,0.0,0.0,242.0,0.7975206611570248,0.2024793388429752,0.0,0.7397668517788598,0.6479644563067646,,0.6938656540428122,0.7211787634394686,60.01595648069982,74.23646880955236
2017-12-01,2017-12,288.0,4.0,0.013888888888888888,43.0,3.0,0.06976744186046512,0.0,0.0,0.0,331.0,0.8700906344410876,0.1299093655589124,0.0,0.49574653608791647,1.1075671520592372,,0.8016568440735768,0.5752277641446137,47.870023646766796,85.76901444002056
2018-01-01,2018-1,247.0,7.0,0.02834008097165992,36.0,5.0,0.1388888888888889,0.0,0.0,0.0,283.0,0.872791519434629,0.127208480565371,0.0,1.0115637821389065,2.2048790527105186,,1.6082214174247125,1.1633636045437759,96.81424773039593,172.06310529694753
2018-02-01,2018-2,158.0,1.0,0.006329113924050633,31.0,1.0,0.03225806451612903,0.0,0.0,0.0,189.0,0.8359788359788359,0.164021164021164,0.0,0.22590981391348092,0.5121009412747011,,0.369005377594091,0.2728512157557974,22.706473790780763,39.479769671133795
2018-03-01,2018-3,230.0,7.0,0.030434782608695653,49.0,6.0,0.12244897959183673,0.0,0.0,0.0,279.0,0.8243727598566308,0.17562724014336917,0.0,1.0863315399491735,1.9438933689202937,,1.5151124544347336,1.2369427572236713,102.93744970054661,162.10140653491476
2018-04-01,2018-4,189.0,6.0,0.031746031746031744,39.0,2.0,0.05128205128205128,0.0,0.0,0.0,228.0,0.8289473684210527,0.17105263157894737,0.0,1.1331349396295234,0.8141091886931145,,0.9736220641613189,1.0785647453904008,89.75735019185782,104.16751942868771
2018-05-01,2018-5,149.0,7.0,0.04697986577181208,43.0,3.0,0.06976744186046512,0.0,0.0,0.0,192.0,0.7760416666666666,0.22395833333333334,0.0,1.67688761200208,1.1075671520592372,,1.3922273820306585,1.549383550660714,128.93853849063098,148.95397116103211
2018-06-01,2018-6,121.0,4.0,0.03305785123966942,28.0,3.0,0.10714285714285714,0.0,0.0,0.0,149.0,0.8120805369127517,0.18791946308724833,0.0,1.1799586974654541,1.700906697805257,,1.4404326976353556,1.2778549659856855,106.34213306764971,154.11144276593433
2018-07-01,2018-7,182.0,12.0,0.06593406593406594,41.0,1.0,0.024390243902439025,0.0,0.0,0.0,223.0,0.8161434977578476,0.18385650224215247,0.0,2.3534341053843946,0.38719827267111545,,1.370316189027755,1.991928862598545,165.76682785307537,146.60969949048223
2018-08-01,2018-8,121.0,5.0,0.04132231404958678,36.0,0.0,0.0,0.0,0.0,0.0,157.0,0.7707006369426752,0.22929936305732485,0.0,1.4749483718318177,0.0,,0.7374741859159089,1.1367436496283436,94.59895502251955,78.90213196403352
2018-09-01,2018-9,107.0,2.0,0.018691588785046728,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,133.0,0.8045112781954887,0.19548872180451127,0.0,0.6671729083799997,0.6105818915198359,,0.6388773999499178,0.6561100028283887,54.60098296364419,68.3532927421475
2018-10-01,2018-10,129.0,6.0,0.046511627906976744,39.0,1.0,0.02564102564102564,0.0,0.0,0.0,168.0,0.7678571428571429,0.23214285714285715,0.0,1.6601744464339527,0.4070545943465573,,1.033614520390255,1.3692716236279503,113.94975883924484,110.58609351388526
2018-11-01,2018-11,78.0,8.0,0.10256410256410256,44.0,5.0,0.11363636363636363,0.0,0.0,0.0,122.0,0.639344262295082,0.36065573770491804,0.0,3.6608974972646138,1.8039919522176968,,2.732444724741155,2.991193858067365,248.92491225745218,292.34340451956825
2018-12-01,2018-12,105.0,2.0,0.01904761904761905,32.0,2.0,0.0625,0.0,0.0,0.0,137.0,0.7664233576642335,0.23357664233576642,0.0,0.6798809637777141,0.9921955737197333,,0.8360382687487238,0.7528303617203755,62.649978780402414,89.44747228795295
2019-01-01,2019-1,96.0,4.0,0.041666666666666664,31.0,1.0,0.03225806451612903,0.0,0.0,0.0,127.0,0.7559055118110236,0.2440944881889764,0.0,1.4872396082637493,0.5121009412747011,,0.9996702747692252,1.249213634431777,103.95862291007012,106.95440931590379
2019-02-01,2019-2,81.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,102.0,0.7941176470588235,0.20588235294117646,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-03-01,2019-3,139.0,7.0,0.050359712230215826,25.0,4.0,0.16,0.0,0.0,0.0,164.0,0.8475609756097561,0.1524390243902439,0.0,1.797527008548992,2.5400206687225175,,2.168773838635755,1.9107120177217853,159.00802285946097,232.03643311753024
2019-04-01,2019-4,97.0,1.0,0.010309278350515464,16.0,0.0,0.0,0.0,0.0,0.0,113.0,0.8584070796460177,0.1415929203539823,0.0,0.3679768102920617,0.0,,0.18398840514603085,0.31587389910026537,26.286789271744365,19.68486178896506
2019-05-01,2019-5,139.0,8.0,0.05755395683453238,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,165.0,0.8424242424242424,0.15757575757575756,0.0,2.054316581198848,0.6105818915198359,,1.332449236359342,1.8268189937342765,152.02650824489308,142.55832609521113
2019-06-01,2019-6,99.0,4.0,0.04040404040404041,12.0,3.0,0.25,0.0,0.0,0.0,111.0,0.8918918918918919,0.10810810810810811,0.0,1.4421717413466661,3.9687822948789333,,2.7054770181128,1.7153188282150194,142.74754799170998,289.4581380413726
2019-07-01,2019-7,118.0,3.0,0.025423728813559324,22.0,2.0,0.09090909090909091,0.0,0.0,0.0,140.0,0.8428571428571429,0.15714285714285714,0.0,0.9074682355507624,1.4431935617741576,,1.17533089866246,0.9916536439572959,82.52467343301603,125.74828439926686
2019-08-01,2019-8,93.0,1.0,0.010752688172043012,29.0,2.0,0.06896551724137931,0.0,0.0,0.0,122.0,0.7622950819672131,0.23770491803278687,0.0,0.38380376987451603,1.0948364951390162,,0.7393201325067661,0.5528197455521431,46.00524512465587,79.09962921111273
2019-09-01,2019-9,75.0,2.0,0.02666666666666667,17.0,3.0,0.17647058823529413,0.0,0.0,0.0,92.0,0.8152173913043478,0.18478260869565216,0.0,0.9518333492887997,2.8014933846204237,,1.8766633669546118,1.2936183558174692,107.6539505615824,200.78362532462165
2019-10-01,2019-10,74.0,2.0,0.02702702702702703,16.0,0.0,0.0,0.0,0.0,0.0,90.0,0.8222222222222222,0.17777777777777778,0.0,0.9646959621170267,0.0,,0.48234798105851334,0.7931944577406663,66.00904861571362,51.60625928458408
2019-11-01,2019-11,88.0,7.0,0.07954545454545454,23.0,5.0,0.21739130434782608,0.0,0.0,0.0,111.0,0.7927927927927928,0.2072072072072072,0.0,2.839275615776249,3.4511150390251593,,3.145195327400704,2.966053153926924,246.83272169100948,336.5034621069827
2019-12-01,2019-12,126.0,6.0,0.047619047619047616,16.0,0.0,0.0,0.0,0.0,0.0,142.0,0.8873239436619719,0.11267605633802817,0.0,1.699702409444285,0.0,,0.8498512047221425,1.5081866449998587,125.51016286086396,90.92531397760051
2020-01-01,2020-1,88.0,1.0,0.011363636363636364,36.0,0.0,0.0,0.0,0.0,0.0,124.0,0.7096774193548387,0.2903225806451613,0.0,0.40561080225374985,0.0,,0.20280540112687492,0.287852827405887,23.95489667505737,21.698086290109213
2020-02-01,2020-2,59.0,4.0,0.06779661016949153,65.0,5.0,0.07692307692307693,0.0,0.0,0.0,124.0,0.47580645161290325,0.5241935483870968,0.0,2.419915294802033,1.2211637830396718,,1.8205395389208525,1.7915374862169244,149.0904076175864,194.7789545572691
2020-03-01,2020-3,35.0,3.0,0.08571428571428572,67.0,8.0,0.11940298507462686,0.0,0.0,0.0,102.0,0.3431372549019608,0.6568627450980392,0.0,3.059464336999713,1.8955378124794906,,2.477501074739602,2.2949243650109397,190.98188659926427,265.06706332691715
2020-04-01,2020-4,92.0,6.0,0.06521739130434782,63.0,5.0,0.07936507936507936,0.0,0.0,0.0,155.0,0.5935483870967742,0.4064516129032258,0.0,2.327853299891086,1.2599308872631534,,1.7938920935771197,1.8937945128229585,157.60016077416088,191.92795273351803
