date,ym,french_polynesia_tahiti_infos_body_count,french_polynesia_tahiti_infos_epu_count,french_polynesia_tahiti_infos_ratio,news_total,french_polynesia_tahiti_infos_weights,french_polynesia_tahiti_infos_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,310,0.0,0.0,310,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,355,0.0,0.0,355,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,373,0.0,0.0,373,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,346,1.0,0.002890173410404624,346,1.0,1.8028208920728739,1.8028208920728739,1.8028208920728739,281.01198263790224,281.01198263790224,281.01198263790224
2015-05-01,2015-5,294,1.0,0.003401360544217687,294,1.0,2.1216871723034503,2.1216871723034503,2.1216871723034503,330.7147822881435,330.7147822881435,330.7147822881435
2015-06-01,2015-6,333,0.0,0.0,333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,382,0.0,0.0,382,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,377,0.0,0.0,377,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,395,0.0,0.0,395,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,399,0.0,0.0,399,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,380,2.0,0.005263157894736842,380,1.0,3.283031729774813,3.283031729774813,3.283031729774813,511.73761048796945,511.73761048796945,511.73761048796945
2015-12-01,2015-12,413,0.0,0.0,413,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,387,0.0,0.0,387,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,420,0.0,0.0,420,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,403,0.0,0.0,403,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,393,0.0,0.0,393,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,344,1.0,0.0029069767441860465,344,1.0,1.8133024088872511,1.8133024088872511,1.8133024088872511,282.64577323463425,282.64577323463425,282.64577323463425
2016-06-01,2016-6,404,1.0,0.0024752475247524753,404,1.0,1.5440000709336992,1.5440000709336992,1.5440000709336992,240.66867819978762,240.66867819978762,240.66867819978762
2016-07-01,2016-7,336,0.0,0.0,336,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,345,0.0,0.0,345,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,380,1.0,0.002631578947368421,380,1.0,1.6415158648874064,1.6415158648874064,1.6415158648874064,255.86880524398472,255.86880524398472,255.86880524398472
2016-10-01,2016-10,386,1.0,0.0025906735751295338,386,1.0,1.6160000742414882,1.6160000742414882,1.6160000742414882,251.89156992931137,251.89156992931137,251.89156992931137
2016-11-01,2016-11,361,0.0,0.0,361,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016-12,346,1.0,0.002890173410404624,346,1.0,1.8028208920728739,1.8028208920728739,1.8028208920728739,281.01198263790224,281.01198263790224,281.01198263790224
2017-01-01,2017-1,350,0.0,0.0,350,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,386,0.0,0.0,386,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,427,2.0,0.00468384074941452,427,1.0,2.92166758153262,2.92166758153262,2.92166758153262,455.4105198721976,455.4105198721976,455.4105198721976
2017-04-01,2017-4,307,1.0,0.003257328990228013,307,1.0,2.0318437415544444,2.0318437415544444,2.0318437415544444,316.71057326617,316.71057326617,316.71057326617
2017-05-01,2017-5,356,1.0,0.0028089887640449437,356,1.0,1.752179855778692,1.752179855778692,1.752179855778692,273.11838761998365,273.11838761998365,273.11838761998365
2017-06-01,2017-6,320,0.0,0.0,320,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017-7,286,1.0,0.0034965034965034965,286,1.0,2.1810350652350157,2.1810350652350157,2.1810350652350157,339.96554542907063,339.96554542907063,339.96554542907063
2017-08-01,2017-8,322,0.0,0.0,322,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,307,0.0,0.0,307,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017-10,322,0.0,0.0,322,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017-11,304,0.0,0.0,304,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017-12,300,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-1,311,1.0,0.003215434083601286,311,1.0,2.00571070307786,2.00571070307786,2.00571070307786,312.6371253785023,312.6371253785023,312.6371253785023
2018-02-01,2018-2,313,0.0,0.0,313,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,318,1.0,0.0031446540880503146,318,1.0,1.9615598385446995,1.9615598385446995,1.9615598385446995,305.7551760777176,305.7551760777176,305.7551760777176
2018-04-01,2018-4,251,0.0,0.0,251,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,271,0.0,0.0,271,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,304,0.0,0.0,304,1.0,0.0,0.0,0.0,0.0,0.0,0.0
