date,ym,EPU_imf_index,EPU_world_bank_index,EPU_central_bank_index,EPU_finance_ministry_index,EPU_government_index,EPU_parliament_index,EPU_multilateral_development_bank_index,EPU_credit_rating_agency_index,EPU_international_investors_index,EPU_commercial_banks_index,EPU_state_owned_enterprises_index,EPU_labor_unions_index,EPU_international_organizations_index,EPU_courts_judiciary_index,EPU_military_security_index,EPU_us_government_index,EPU_china_government_index
2015-01-01,2015-1,,,,,3220.899993679018,,,,,,,,0.0,7100.000000000001,0.0,,0.0
2015-02-01,2015-2,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-03-01,2015-3,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-04-01,2015-4,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-05-01,2015-5,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-06-01,2015-6,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-07-01,2015-7,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-08-01,2015-8,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-09-01,2015-9,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-10-01,2015-10,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-11-01,2015-11,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2015-12-01,2015-12,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-01-01,2016-1,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-02-01,2016-2,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-03-01,2016-3,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-04-01,2016-4,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-05-01,2016-5,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-06-01,2016-6,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-07-01,2016-7,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-08-01,2016-8,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-09-01,2016-9,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-10-01,2016-10,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-11-01,2016-11,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2016-12-01,2016-12,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-01-01,2017-1,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-02-01,2017-2,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-03-01,2017-3,,,,,3025.6980049303666,,,,,,,,6508.333333333334,0.0,6508.333333333334,,7100.0
2017-04-01,2017-4,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-05-01,2017-5,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-06-01,2017-6,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-07-01,2017-7,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-08-01,2017-8,,,,,853.4020013906162,,,,,,,,0.0,0.0,0.0,,0.0
2017-09-01,2017-9,,,,,0.0,,,,,,,,591.6666666666667,0.0,591.6666666666667,,0.0
2017-10-01,2017-10,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-11-01,2017-11,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2017-12-01,2017-12,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2018-01-01,2018-1,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2018-02-01,2018-2,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2018-03-01,2018-3,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2018-04-01,2018-4,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2018-05-01,2018-5,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
2018-06-01,2018-6,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0
