date,ym,mongolia_ub_post_body_count,mongolia_ub_post_epu_count,mongolia_ub_post_ratio,mongolia_dnn_body_count,mongolia_dnn_epu_count,mongolia_dnn_ratio,news_total,mongolia_ub_post_weights,mongolia_dnn_weights,mongolia_ub_post_z_score,mongolia_dnn_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,0.0,0.0,0.0,19,0.0,0.0,19.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,10,0.0,0.0,10.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,15,0.0,0.0,15.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,23,0.0,0.0,23.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,27,0.0,0.0,27.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,6,0.0,0.0,6.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,12,0.0,0.0,12.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,0.0,0.0,0.0,10,0.0,0.0,10.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,0.0,0.0,0.0,15,0.0,0.0,15.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,8,0.0,0.0,8.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,0.0,0.0,0.0,13,0.0,0.0,13.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,0.0,0.0,0.0,20,0.0,0.0,20.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,0.0,0.0,0.0,15,0.0,0.0,15.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,0.0,0.0,0.0,22,0.0,0.0,22.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,0.0,0.0,0.0,21,0.0,0.0,21.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,0.0,0.0,0.0,10,0.0,0.0,10.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,0.0,0.0,0.0,25,0.0,0.0,25.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,0.0,0.0,0.0,12,0.0,0.0,12.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,0.0,0.0,0.0,13,0.0,0.0,13.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,0.0,0.0,0.0,24,0.0,0.0,24.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,0.0,0.0,0.0,29,0.0,0.0,29.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-10-01,2016-10,1.0,0.0,0.0,8,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,0.0,,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016-11,0.0,0.0,0.0,28,0.0,0.0,28.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016-12,0.0,0.0,0.0,25,0.0,0.0,25.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-1,0.0,0.0,0.0,26,0.0,0.0,26.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,0.0,0.0,0.0,12,0.0,0.0,12.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,0.0,0.0,0.0,7,0.0,0.0,7.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,0.0,0.0,0.0,7,0.0,0.0,7.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,0.0,0.0,0.0,6,0.0,0.0,6.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-06-01,2017-6,0.0,0.0,0.0,9,0.0,0.0,9.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017-7,0.0,0.0,0.0,38,0.0,0.0,38.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017-8,0.0,0.0,0.0,9,0.0,0.0,9.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,0.0,0.0,0.0,10,0.0,0.0,10.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017-10,0.0,0.0,0.0,6,0.0,0.0,6.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017-11,0.0,0.0,0.0,5,0.0,0.0,5.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017-12,0.0,0.0,0.0,11,0.0,0.0,11.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-1,0.0,0.0,0.0,175,0.0,0.0,175.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018-2,2.0,0.0,0.0,132,0.0,0.0,134.0,0.014925373134328358,0.9850746268656716,0.0,,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,1.0,0.0,0.0,140,0.0,0.0,141.0,0.0070921985815602835,0.9929078014184397,0.0,,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018-4,0.0,0.0,0.0,175,0.0,0.0,175.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,0.0,0.0,0.0,179,0.0,0.0,179.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,1.0,0.0,0.0,205,0.0,0.0,206.0,0.0048543689320388345,0.9951456310679612,0.0,,0.0,0.0,0.0,0.0,0.0
2018-07-01,2018-7,0.0,0.0,0.0,73,0.0,0.0,73.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,0.0,0.0,0.0,83,0.0,0.0,83.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,0.0,0.0,0.0,154,0.0,0.0,154.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-10-01,2018-10,2.0,0.0,0.0,228,0.0,0.0,230.0,0.008695652173913044,0.991304347826087,0.0,,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,14.0,0.0,0.0,309,0.0,0.0,323.0,0.043343653250773995,0.9566563467492261,0.0,,0.0,0.0,0.0,0.0,0.0
2018-12-01,2018-12,7.0,0.0,0.0,250,0.0,0.0,257.0,0.027237354085603113,0.9727626459143969,0.0,,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,6.0,0.0,0.0,251,0.0,0.0,257.0,0.023346303501945526,0.9766536964980544,0.0,,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,6.0,0.0,0.0,151,0.0,0.0,157.0,0.03821656050955414,0.9617834394904459,0.0,,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,2.0,0.0,0.0,220,0.0,0.0,222.0,0.009009009009009009,0.990990990990991,0.0,,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019-4,2.0,0.0,0.0,217,0.0,0.0,219.0,0.0091324200913242,0.9908675799086758,0.0,,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,2.0,0.0,0.0,297,0.0,0.0,299.0,0.006688963210702341,0.9933110367892977,0.0,,0.0,0.0,0.0,0.0,0.0
