date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2015-01-01,2015-1,,,,,,,,,155.149191601112,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,192.2547497394117,161.08355943899124,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-02-01,2015-2,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-03-01,2015-3,,,,,,,,,165.3402745042576,283.77887852903257,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,245.68979537295647,391.346423098809,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-04-01,2015-4,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-05-01,2015-5,,,,,,,,,314.1465215580895,189.18591901935503,843.7236135774071,563.6197910157001,,,,,0.0,0.0,0.0,0.0,,,,,233.4053056043087,130.448807699603,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-06-01,2015-6,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-07-01,2015-7,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-08-01,2015-8,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-09-01,2015-9,,,,,,,,,392.6831519476118,283.77887852903257,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-10-01,2015-10,,,,,,,,,324.97916023250633,212.83415889677445,290.9391770956576,211.3574216308876,,,,,0.0,0.0,0.0,0.0,,,,,160.96917627883354,97.83660577470224,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-11-01,2015-11,,,,,,,,,224.39037254149244,283.77887852903257,602.6597239838621,845.4296865235503,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-12-01,2015-12,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-01-01,2016-1,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-02-01,2016-2,,,,,,,,,165.3402745042576,283.77887852903257,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,245.68979537295647,391.346423098809,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-03-01,2016-3,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,222.2907672421987,391.346423098809,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-04-01,2016-4,,,,,,,,,459.8628301973501,218.91513486525372,301.32986199193107,163.04715382954183,,,,,0.0,0.0,0.0,0.0,,,,,333.436150863298,150.94790605239777,0.0,0.0,0.0,0.0,,,0.0,0.0
