date,ym,EPU_imf_index,EPU_world_bank_index,EPU_central_bank_index,EPU_finance_ministry_index,EPU_government_index,EPU_parliament_index,EPU_multilateral_development_bank_index,EPU_credit_rating_agency_index,EPU_international_investors_index,EPU_commercial_banks_index,EPU_state_owned_enterprises_index,EPU_labor_unions_index,EPU_international_organizations_index,EPU_courts_judiciary_index,EPU_military_security_index,EPU_us_government_index,EPU_china_government_index
2015-01-01,2015-1,3488.6597938144323,0.0,263.90256088732804,0.0,76.08628623906158,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,0.0,34.84216667581361,0.0,,0.0,0.0,0.0,,0.0,41.404905451143215,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,0.0,59.200034409657675,0.0,,0.0,0.0,0.0,,0.0,73.97518451016121,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,399.8523649808001,549.7896627131731,115.28225187736604,0.0,,0.0,0.0,0.0,,0.0,93.58981676664337,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,0.0,91.12566669058944,0.0,,0.0,0.0,0.0,,0.0,108.28975271837456,0.0,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,0.0,62.36580839267342,0.0,,0.0,0.0,0.0,,0.0,24.66764458677054,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,63.98939933358497,0.0,0.0,0.0,0.0
2015-08-01,2015-8,0.0,0.0,0.0,0.0,81.03611267551501,243.31578224512688,,0.0,0.0,0.0,,0.0,51.92582404938453,0.0,0.0,0.0,0.0
2015-09-01,2015-9,0.0,0.0,0.0,0.0,44.22868199042086,116.68153909479086,,0.0,0.0,0.0,,0.0,90.72236090884388,460.5869124756416,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,0.0,16.505631322512137,0.0,,0.0,0.0,0.0,,0.0,21.807627823087,0.0,0.0,0.0,0.0
2015-11-01,2015-11,0.0,0.0,0.0,0.0,45.83511219220577,0.0,,0.0,0.0,0.0,,0.0,38.162352614607904,0.0,848.8183427118859,0.0,0.0
2015-12-01,2015-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,69.6148410332408,0.0,0.0,0.0,0.0
2016-01-01,2016-1,0.0,0.0,0.0,0.0,28.472214031333426,0.0,,0.0,0.0,0.0,,0.0,79.18688167531141,0.0,0.0,0.0,0.0
2016-02-01,2016-2,0.0,0.0,0.0,0.0,122.3101711262607,0.0,,0.0,0.0,0.0,,0.0,111.24289492393947,0.0,0.0,0.0,0.0
2016-03-01,2016-3,0.0,0.0,0.0,352.29240523368367,22.114340995210434,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,0.0,0.0,0.0,0.0,53.846984862621035,0.0,,0.0,0.0,0.0,,0.0,127.97879866716994,2946.4318363404377,0.0,0.0,0.0
2016-06-01,2016-6,0.0,0.0,293.2250676525867,0.0,84.54031804340174,0.0,,7200.000000000001,0.0,0.0,,0.0,70.38833926694348,0.0,0.0,0.0,0.0
2016-07-01,2016-7,0.0,0.0,361.5103573799014,0.0,31.20242633570787,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,0.0,0.0,258.7280008699294,0.0,96.92554653345915,0.0,,0.0,0.0,0.0,,0.0,91.61179581971489,0.0,0.0,0.0,0.0
