date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2015-01-01,2015-1,,,,,0.0,0.0,0.0,0.0,40.704402866986015,54.499975918263054,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,74.33499714277043,90.28965533709815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,,,,,0.0,0.0,0.0,0.0,82.81240583283362,93.42853014559381,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,113.42495253681349,116.0866997191262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,,,,,0.0,0.0,0.0,0.0,69.61042809136738,130.79994220383136,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,63.56180915106456,108.3475864045178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,,,,,0.0,0.0,0.0,0.0,126.39788258695657,326.9998555095783,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,38.471621328275916,90.28965533709815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,,,,,0.0,0.0,0.0,0.0,82.81240583283362,108.99995183652611,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,94.5207937806779,112.8620691713727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,,,,,0.0,0.0,0.0,0.0,114.35998900724641,140.14279521839072,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,69.61531478449928,77.39113314608413,342.63082978482555,357.44328759566986,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,55.75124785707782,135.43448300564722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,,,,,0.0,0.0,0.0,0.0,75.04874278600546,108.99995183652611,243.54440268853932,372.3483413264626,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,68.52757549099148,90.28965533709815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,,,,,0.0,0.0,0.0,0.0,73.89414674314385,93.42853014559381,239.79756572410028,319.15572113696794,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,84.34163137352799,96.73891643260517,332.08834271452326,357.44328759566986,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,37.80831751227116,135.43448300564722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,,,,,0.0,0.0,0.0,0.0,33.82478548101655,65.39997110191568,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,30.88566782692574,54.1737932022589,0.0,0.0,1670.1746735951685,2279.1311948783177,0.0,0.0,0.0,0.0
2015-12-01,2015-12,,,,,0.0,0.0,0.0,0.0,40.025996152536244,36.33331727884204,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,127.91814091651743,105.33793122661451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,,,,,0.0,0.0,0.0,0.0,46.18384171446491,81.74996387739458,299.74695715512536,558.522511989694,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,84.34163137352799,135.43448300564722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,,,,,0.0,0.0,0.0,0.0,225.1462283580164,217.99990367305222,243.54440268853932,248.23222755097504,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,119.9232571092351,105.33793122661451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,42.170815686763994,90.28965533709815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,,,,,0.0,0.0,0.0,0.0,78.7396645623664,108.99995183652611,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,89.87223015211998,112.8620691713727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,,,,,0.0,0.0,0.0,0.0,32.89807902948184,27.249987959131527,213.51838043926736,186.1741706632313,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,120.15794058694397,90.28965533709815,591.3901993546303,417.01716886161483,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,,,,,0.0,0.0,0.0,0.0,33.82478548101655,81.74996387739458,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,15.44283391346287,33.858620751411806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,,,,,0.0,0.0,0.0,0.0,47.08940723827794,65.39997110191568,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,85.9953888514403,108.3475864045178,423.24984855772567,500.4206026339378,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,,,,,0.0,0.0,0.0,0.0,64.90702078789663,130.79994220383136,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,59.26709231653317,108.3475864045178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,,,,,0.0,0.0,1699.6454258217393,1921.971252566735,102.92399010652179,140.14279521839072,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,78.31722913256169,96.73891643260517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,2016-10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,33.73665254941119,90.28965533709815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016-11,,,,,0.0,0.0,1336.799773118222,2242.299794661191,107.93527052369325,217.99990367305222,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,24.639128266423903,45.14482766854908,242.5364300724046,417.01716886161483,888.2576915749585,1266.183997154621,0.0,0.0,0.0,0.0
2016-12-01,2016-12,,,,,0.0,0.0,0.0,0.0,71.68835131797537,65.39997110191568,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,114.5535590297171,94.80413810395305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-1,,,,,0.0,0.0,0.0,0.0,121.59796299504684,118.9090383671194,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,152.6690289419557,135.43448300564722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,,,,,0.0,0.0,0.0,0.0,65.79615805896368,108.99995183652611,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,90.11845544020798,135.43448300564722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,60.07897029347198,90.28965533709815,591.3901993546303,834.0343377232297,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,,,,,0.0,0.0,0.0,0.0,135.2991419240662,130.79994220383136,219.5329827051622,223.4090047958776,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,108.09983739424007,94.80413810395305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,,,,,0.0,0.0,0.0,0.0,169.80725640469925,163.49992775478916,157.4428461824901,159.57786056848397,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,121.82680087287375,106.41280807586567,218.03780077216175,178.72164379783493,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,2017-6,,,,,0.0,0.0,0.0,0.0,61.57845561928654,54.499975918263054,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,84.34163137352799,67.71724150282361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017-7,,,,,0.0,0.0,0.0,0.0,34.30799670217393,65.39997110191568,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,78.31722913256169,135.43448300564722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017-8,,,,,0.0,0.0,0.0,0.0,220.83308222088965,237.8180767342388,358.3182016567015,406.19819053795925,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,100.8221800327231,98.4978058222889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,,,,,0.0,0.0,0.0,0.0,88.94665811674722,163.49992775478916,192.43014533415453,372.3483413264626,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,40.60893362429125,67.71724150282361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017-10,,,,,0.0,0.0,0.0,0.0,32.89807902948184,65.39997110191568,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,45.05922772010399,81.26068980338833,295.69509967731517,500.4206026339378,541.4721544532282,759.7103982927728,0.0,0.0,0.0,0.0
