date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2015-01-01,2015-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.15894077449165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.18869548585596,47.05045443573216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4525915981378,18.05653318495728,0.0,0.0,0.0,0.0,0.0,0.0,2143.297181282211,2246.802403601152,0.0,0.0,0.0,0.0,0.0,0.0,95.84416609772111,16.673410614241977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.41104665404868,26.15084116442089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3400092886161,26.72842083299597,209.4462303260436,201.13110176143283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5909140752811,48.63078095820576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.95268237561971,23.297094282913445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,0.0,0.0,192.05165381697583,443.764480900889,187.64564344606725,488.50710673313046,364.7639941042953,872.3488534713788,39.08854650473928,116.37776795232298,265.2354716364918,652.3954786768973,360.58094117922474,885.9501653637856,0.0,0.0,817.5186199560134,1712.1918490226751,0.0,0.0,0.0,0.0,0.0,0.0,54.085289387592496,156.43354230939747,92.94949106336192,225.28485217981063,530.4237156797957,1280.8697755865337,0.0,0.0,0.0,0.0
2016-01-01,2016-1,0.0,0.0,0.0,0.0,142.85281242990925,281.3814275137342,0.0,0.0,30.082694794452284,67.03391214976952,0.0,0.0,137.2533905133823,255.1548573194831,0.0,0.0,0.0,0.0,0.0,0.0,1565.8329057874355,2729.679446005005,0.0,0.0,49.744312896112845,108.20326490823062,70.76154803533359,129.7646900727812,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,0.0,0.0,0.0,0.0,84.27092645722523,173.76814497854008,0.0,0.0,35.1090274980722,82.79408252238905,54.850898549559815,97.91091811161094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.15268043430401,144.67800328926978,83.48650767251534,160.273332016995,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,0.0,0.0,145.2698407077125,214.6967433196401,0.0,0.0,0.0,0.0,74.51179474864479,134.15504520928735,92.38508714036436,126.11523524075504,136.37356108701445,214.31482625756075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.74187612153162,116.090805820156,105.4619225526606,163.49187293243875,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,0.0,0.0,0.0,0.0,72.71653834691602,86.2396417578867,0.0,0.0,88.66557725009098,117.84482439999124,137.04558578262086,153.56269906167145,69.86625789679557,78.2015489879583,0.0,0.0,316.8052451717884,302.2654320588106,0.0,0.0,0.0,0.0,0.0,0.0,88.02847100325398,115.9885789567609,0.0,0.0,205.55007701220325,226.1210718586991,0.0,0.0,0.0,0.0
2016-05-01,2016-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.24800837806586,111.93175421391004,31.44715966149816,48.26706341068157,64.12743189020122,98.31968692603988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.31108918932756,127.59616855515628,33.06116034808351,50.00266832481043,0.0,0.0,0.0,0.0,0.0,0.0
