date,ym,singapore_zaobao_body_count,singapore_zaobao_epu_count,singapore_zaobao_ratio,singapore_today_body_count,singapore_today_epu_count,singapore_today_ratio,singapore_the_independent_body_count,singapore_the_independent_epu_count,singapore_the_independent_ratio,singapore_the_straits_times_body_count,singapore_the_straits_times_epu_count,singapore_the_straits_times_ratio,news_total,singapore_zaobao_weights,singapore_today_weights,singapore_the_independent_weights,singapore_the_straits_times_weights,singapore_zaobao_z_score,singapore_today_z_score,singapore_the_independent_z_score,singapore_the_straits_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2022-10-01,2022-10,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2022-11-01,2022-11,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2022-12-01,2022-12,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-01-01,2023-1,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-02-01,2023-2,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0,0.2,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-03-01,2023-3,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,0.058823529411764705,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-04-01,2023-4,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-05-01,2023-5,0.0,0.0,0.0,0.0,0.0,0.0,20,2.0,0.1,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-06-01,2023-6,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0,0.07142857142857142,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,,,,,,0,,,
2023-07-01,2023-7,0.0,0.0,0.0,0.0,0.0,0.0,23,1.0,0.043478260869565216,0.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,,,,,,0,,,
