date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2015-01-01,2015-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.25574424895144,69.07158490063483,84.95500779154966,88.21035394469256,0.0,0.0,0.0,0.0,2839.5451669249614,3935.0101781420763,0.0,0.0,0.0,0.0,0.0,0.0,86.04256593626583,96.00836130905361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,657.7640213738947,819.7320407605926,0.0,0.0,0.0,0.0,86.39921375299934,118.03877105103179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.50199544331283,85.04760702641947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.59706502088619,76.73338608442508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.11555683790259,82.11565424953697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,0.0,0.0,0.0,112.17172631951236,195.24274307081103,84.0702144531868,111.2257667380162,151.98722302972791,198.62548308682935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.52236799857518,116.00868069359318,0.0,0.0,139.3926815194671,260.9005932113274,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.97226486133661,104.43863472939373,106.69388733632613,91.33641645631015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88957191886944,88.70353935286738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8235759489649,79.06478875087168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.314842274205,52.95593321973785,0.0,0.0,900.0638824773378,794.4942476377983,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,102.91993047060707,119.9500650774727,121.29196805225493,125.43624342858215,129.45524996807566,120.75176223882262,1721.6509177474243,1839.4644526653303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.94452425462768,73.9695867485597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,0.0,0.0,0.0,0.0,0.0,0.0,99.32530054608218,182.32299643554273,70.10115100873632,102.400424104636,49.707475973926265,107.52268933330822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.7692711090503,137.8366596922307,85.10226072874744,244.82801249080353,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,0.0,0.0,1073.871260982163,1162.5847250609734,0.0,0.0,0.0,0.0,112.80336067374692,147.07101707642326,147.74783963747768,166.261421056717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.852486459164304,67.57959583659006,201.28534711495053,443.55568657209324,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,1060.044592385826,1092.699237625438,0.0,0.0,0.0,0.0,43.676894712162934,42.807934686563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0147904905468,112.24868777210663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
