date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2015-01-01,2015-1,,,69.35177994446778,106.7915387701339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,280.2428456594457,426.54505308469095,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-02-01,2015-2,,,141.59321738662172,109.01636249451168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,490.42497990403,373.22692144910457,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-03-01,2015-3,,,161.82081987042483,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-04-01,2015-4,,,80.91040993521241,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-05-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-06-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-07-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-08-01,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-09-01,2015-9,,,129.45665589633987,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-10-01,2015-10,,,80.91040993521241,83.06008571010413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-11-01,2015-11,,,32.36416397408497,41.530042855052066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2015-12-01,2015-12,,,97.09249192225488,93.44259642386716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-01-01,2016-1,,,64.72832794816993,83.06008571010413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-02-01,2016-2,,,92.46903992595703,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,560.4856913188914,746.4538428982091,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-03-01,2016-3,,,115.58629990744629,113.2637532410511,0.0,0.0,0.0,0.0,0.0,0.0,338.8143132596828,418.231722703358,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,3323.076923076923,3428.5714285714284,0.0,0.0,,,0.0,0.0
2016-04-01,2016-4,,,104.02766991670168,101.937377916946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-05-01,2016-5,,,115.58629990744629,103.82510713763018,0.0,0.0,0.0,0.0,0.0,0.0,338.8143132596828,383.3790791447448,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-06-01,2016-6,,,129.45665589633987,110.74678094680552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-07-01,2016-7,,,107.8805465802832,110.74678094680552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6315.762541032808,6438.19593213577,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-08-01,2016-8,,,134.850683225354,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,3876.923076923076,3771.428571428571,0.0,0.0,,,0.0,0.0
2016-09-01,2016-9,,,125.86063767699707,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,435.9333154702489,426.54505308469095,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-10-01,2016-10,,,161.82081987042483,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,653.8999732053733,497.6358952654728,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-11-01,2016-11,,,136.9253091211287,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2016-12-01,2016-12,,,121.3656149028186,93.44259642386716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,980.84995980806,746.4538428982091,0.0,0.0,0.0,0.0,,,0.0,0.0
2017-01-01,2017-1,,,161.82081987042483,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2661.8741976893452,2229.552339279704,,,0.0,0.0
2017-02-01,2017-2,,,161.82081987042483,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,490.42497990403,373.22692144910457,0.0,0.0,0.0,0.0,,,0.0,0.0
2017-03-01,2017-3,,,141.59321738662172,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2017-04-01,2017-4,,,161.82081987042483,124.5901285651562,0.0,0.0,0.0,0.0,3336.6395879881125,1789.5916285410067,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2017-05-01,2017-5,,,161.82081987042483,124.5901285651562,0.0,0.0,0.0,0.0,0.0,0.0,4743.400385635559,4600.548949736937,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2017-06-01,2017-6,,,53.9402732901416,62.2950642825781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
