date,ym,EPU_imf_index,EPU_world_bank_index,EPU_central_bank_index,EPU_finance_ministry_index,EPU_government_index,EPU_parliament_index,EPU_multilateral_development_bank_index,EPU_credit_rating_agency_index,EPU_international_investors_index,EPU_commercial_banks_index,EPU_state_owned_enterprises_index,EPU_labor_unions_index,EPU_international_organizations_index,EPU_courts_judiciary_index,EPU_military_security_index,EPU_us_government_index,EPU_china_government_index
2015-01-01,2015-1,0.0,0.0,0.0,0.0,104.39977104981978,0.0,0.0,,0.0,0.0,,0.0,119.50469005751144,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,0.0,0.0,0.0,1535.6638039168752,64.5926641027662,0.0,0.0,,0.0,0.0,,0.0,73.93815356076246,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,0.0,140.2871923481953,0.0,0.0,,0.0,0.0,,0.0,80.29221363239049,621.7737190941934,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,164.12522533813524,0.0,0.0,,0.0,0.0,,0.0,134.34514176399978,0.0,0.0,0.0,0.0
2015-08-01,2015-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,0.0,65.06072688611957,296.15199339772835,0.0,,0.0,0.0,,0.0,74.47393728221726,0.0,0.0,0.0,0.0
2015-11-01,2015-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,0.0,0.0,0.0,0.0,84.7017010404198,0.0,0.0,,0.0,0.0,,0.0,96.95663532967906,0.0,0.0,0.0,0.0
2016-01-01,2016-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,0.0,0.0,0.0,0.0,109.00526463817695,0.0,0.0,,0.0,0.0,,0.0,69.44191449287825,0.0,0.0,0.0,0.0
2016-03-01,2016-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,0.0,0.0,0.0,0.0,50.74041741961483,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,0.0,437.8908848705349,0.0,0.0,49.00273189154582,232.4328050528123,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,41.98940905428308,0.0,0.0,0.0,55.35775090570802,21.189187594742016,0.0,,0.0,0.0,,0.0,90.10277982818737,0.0,36.75042205323933,0.0,1248.5003135669276
2016-10-01,2016-10,0.0,0.0,0.0,0.0,56.78094330290231,0.0,0.0,,0.0,0.0,,0.0,95.60460920980444,0.0,0.0,0.0,0.0
2016-11-01,2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016-12,0.0,0.0,0.0,0.0,62.349863265864585,0.0,0.0,,0.0,0.0,,0.0,71.37085656212489,0.0,0.0,0.0,0.0
2017-01-01,2017-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,0.0,560.8076244833167,0.0,0.0,157.51544404007896,358.49978148146056,0.0,,0.0,0.0,,0.0,180.30532184115756,698.1318951233048,0.0,1325.8355911109609,0.0
2017-05-01,2017-5,0.0,289.285380955195,0.0,965.8699943187586,154.25131125348048,184.92748908998425,0.0,,0.0,0.0,,0.0,139.51226260107669,0.0,0.0,0.0,0.0
2017-06-01,2017-6,0.0,0.0,0.0,0.0,255.06762245126424,696.6302571969293,655.0019944172324,,0.0,0.0,,0.0,350.3660231231585,904.3981368642816,1151.5377973240863,858.7798715150543,0.0
2017-07-01,2017-7,0.0,0.0,0.0,0.0,67.50661887431954,0.0,0.0,,0.0,0.0,,0.0,154.54741872099223,0.0,0.0,0.0,0.0
2017-08-01,2017-8,0.0,427.3739465012149,0.0,0.0,233.600514423494,260.31194324131536,734.2697517033943,,0.0,0.0,,0.0,267.18554225974117,0.0,0.0,962.708645774838,0.0
2017-09-01,2017-9,0.0,0.0,0.0,0.0,58.68222425022549,0.0,0.0,,0.0,0.0,,0.0,67.17257088199987,0.0,0.0,0.0,0.0
2017-10-01,2017-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017-11,0.0,0.0,0.0,0.0,80.16410991325445,182.4507816468148,0.0,,0.0,0.0,,0.0,0.0,0.0,452.3898489487482,0.0,608.0502767495199
2017-12-01,2017-12,813.0785718721372,593.7850407140775,0.0,0.0,79.45469301136727,0.0,0.0,,4355.244755244756,0.0,,0.0,90.950472079168,0.0,0.0,0.0,0.0
2018-01-01,2018-1,0.0,0.0,0.0,0.0,64.45404374924045,305.7224282676631,0.0,,0.0,0.0,,0.0,108.52415099491311,0.0,0.0,0.0,0.0
2018-02-01,2018-2,0.0,290.6003145049914,0.0,0.0,65.03998960150628,154.2508615350482,315.73324732269936,,0.0,0.0,,0.0,156.22620393553044,0.0,0.0,0.0,0.0
2018-03-01,2018-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018-4,0.0,0.0,0.0,0.0,71.25698658955952,0.0,0.0,,0.0,0.0,,0.0,81.56669321385698,0.0,0.0,0.0,0.0
2018-05-01,2018-5,0.0,0.0,0.0,0.0,105.01029602671927,0.0,0.0,,0.0,0.0,,0.0,60.101773947052514,0.0,0.0,0.0,0.0
2018-06-01,2018-6,0.0,0.0,0.0,0.0,5.011575811516824,19.934564645053342,0.0,,0.0,0.0,,0.0,73.13105328908827,0.0,0.0,0.0,0.0
2018-07-01,2018-7,0.0,0.0,0.0,0.0,164.74092312448624,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,0.0,0.0,0.0,0.0,115.39352993815628,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,0.0,0.0,972.164568631527,0.0,193.77799230829856,294.0214035171691,0.0,,0.0,0.0,,0.0,147.8763071215249,0.0,0.0,0.0,0.0
2018-10-01,2018-10,0.0,0.0,919.2576533318522,1452.0902635676575,122.15483415353062,278.02023869990825,0.0,,0.0,0.0,,0.0,139.8286169380406,0.0,0.0,0.0,0.0
2018-11-01,2018-11,608.4627723281557,0.0,0.0,0.0,64.50423730884144,270.65546416481135,0.0,,0.0,1760.2152758283382,,0.0,141.67763870786357,527.0664638679256,34.803379825253145,1000.9619694480104,936.080744039496
2018-12-01,2018-12,987.9341787263604,721.4807483945241,1453.0201617180892,0.0,386.16689506600005,0.0,0.0,,0.0,0.0,,3885.148514851485,221.0194267730319,0.0,1089.6271630593506,0.0,1464.5512042138976
2019-01-01,2019-1,798.9380749700131,583.4583443538324,1175.0510873024546,0.0,156.14574452668697,0.0,0.0,,0.0,0.0,,0.0,178.7374494773214,692.0611829917979,881.176749256692,0.0,0.0
2019-02-01,2019-2,0.0,0.0,0.0,0.0,129.18532820553236,294.0214035171691,0.0,,0.0,0.0,,0.0,147.87630712152492,572.5686046335019,0.0,0.0,0.0
2019-03-01,2019-3,0.0,0.0,0.0,0.0,61.91986420885863,0.0,0.0,,0.0,0.0,,0.0,70.87864375824816,0.0,0.0,0.0,0.0
2019-04-01,2019-4,0.0,0.0,0.0,0.0,68.01803265367045,309.6134476430796,0.0,,0.0,0.0,,0.0,77.85911624959077,0.0,0.0,0.0,0.0
2019-05-01,2019-5,0.0,0.0,0.0,0.0,61.49575554989384,0.0,0.0,,0.0,0.0,,0.0,70.39317359552042,0.0,0.0,0.0,932.8990547389892
2019-06-01,2019-6,0.0,453.3629027073698,913.0464529715016,0.0,242.6589273049865,552.283447147115,778.9212906583302,,0.0,1795.8953152032368,,0.0,208.3257434786347,0.0,684.6981497602675,0.0,920.29231075603
2019-07-01,2019-7,0.0,0.0,0.0,0.0,166.26630204230554,504.55524801094464,0.0,,0.0,0.0,,0.0,126.88152277711087,491.27800027195536,0.0,0.0,0.0
2019-08-01,2019-8,0.0,430.1135230813508,0.0,0.0,57.55371993772115,0.0,0.0,,0.0,1703.798119551789,,0.0,131.76158134546128,0.0,0.0,0.0,0.0
2019-09-01,2019-9,0.0,0.0,0.0,571.8287150828927,264.38422207169793,435.06653253475133,0.0,,0.0,0.0,,0.0,352.0805868955683,0.0,649.5854241315358,968.8798550426252,0.0
2019-10-01,2019-10,531.0860035927833,387.8480323739349,781.1033239293772,0.0,145.1512108481774,236.23685022477753,666.3604105053925,,2844.7552447552443,0.0,,0.0,188.44501416374172,1571.7778275184369,0.0,873.6720080153153,0.0
2019-11-01,2019-11,0.0,0.0,0.0,0.0,50.44033882182303,0.0,647.6424214462523,,0.0,0.0,,0.0,57.73822103902238,0.0,0.0,0.0,0.0
2019-12-01,2019-12,0.0,0.0,0.0,0.0,71.5439885616569,0.0,0.0,,0.0,0.0,,0.0,120.46180760435357,0.0,0.0,0.0,0.0
2020-01-01,2020-1,0.0,0.0,0.0,1856.1501629951797,156.14574452668697,355.382392077274,1002.437834934199,,0.0,0.0,,0.0,178.73744947732143,0.0,0.0,0.0,0.0
2020-02-01,2020-2,0.0,0.0,0.0,0.0,157.51544404007896,0.0,1011.2311492757271,,0.0,0.0,,0.0,270.4579827617364,0.0,0.0,0.0,0.0
2020-03-01,2020-3,670.6414497923469,489.7643036546769,0.0,0.0,301.05064703054654,0.0,841.4624161856416,,0.0,1940.0912894166352,,0.0,463.0160400377027,0.0,1439.9285566829851,0.0,0.0
2020-04-01,2020-4,723.4478631618229,528.3284220526829,0.0,0.0,330.7535288703578,0.0,546.9394835511329,,0.0,0.0,,0.0,263.3031827190768,0.0,0.0,0.0,0.0
2020-05-01,2020-5,0.0,0.0,0.0,0.0,78.75772202003948,358.4997814814606,0.0,,0.0,0.0,,0.0,90.1526609205788,0.0,0.0,0.0,0.0
2020-06-01,2020-6,0.0,0.0,0.0,818.3970601186356,395.11853300278614,311.3320141074367,0.0,,0.0,0.0,,3314.851485148514,188.5762081641465,0.0,0.0,0.0,0.0
2020-07-01,2020-7,706.7529124734731,516.136227697621,0.0,0.0,193.16276520565148,0.0,0.0,,0.0,0.0,,0.0,250.7768265409794,0.0,779.502508957843,0.0,0.0
2020-08-01,2020-8,0.0,0.0,0.0,0.0,78.5495147873795,0.0,0.0,,0.0,0.0,,0.0,82.88228503988695,0.0,0.0,0.0,0.0
2020-09-01,2020-9,0.0,0.0,0.0,0.0,59.12726327409662,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,2020-10,647.0273142362782,0.0,0.0,0.0,252.91212141646483,287.80968372455294,0.0,,0.0,0.0,,0.0,217.12823968195735,1120.9441696346023,0.0,0.0,0.0
2020-11-01,2020-11,670.6414497923467,489.7643036546768,986.356752115199,0.0,71.09591119441649,0.0,0.0,,0.0,0.0,,0.0,81.13810291928041,0.0,0.0,0.0,0.0
2020-12-01,2020-12,0.0,0.0,0.0,0.0,200.8892758138775,0.0,0.0,,0.0,0.0,,0.0,96.36944608348284,0.0,0.0,1209.1620590931964,1089.6260959351396
2021-01-01,2021-1,0.0,1458.6458608845812,0.0,0.0,292.773270987538,0.0,1253.047293667749,,0.0,0.0,,0.0,335.13271776997766,0.0,1101.4709365708652,1642.883232463582,0.0
2021-02-01,2021-2,0.0,0.0,0.0,0.0,174.33748175309708,396.7861659115195,0.0,,0.0,0.0,,0.0,299.34184499842667,0.0,983.838118102132,0.0,0.0
2021-03-01,2021-3,0.0,0.0,0.0,0.0,64.45404374924045,0.0,0.0,,0.0,0.0,,0.0,108.52415099491311,0.0,0.0,0.0,0.0
2021-04-01,2021-4,0.0,0.0,0.0,0.0,65.96798649596873,0.0,0.0,,0.0,0.0,,0.0,107.3724792952566,0.0,0.0,0.0,0.0
2021-05-01,2021-5,0.0,0.0,0.0,0.0,192.39386379181073,583.8425012698073,0.0,,0.0,0.0,,0.0,146.82004778494257,0.0,723.823758317997,0.0,972.8804427992316
2021-06-01,2021-6,0.0,0.0,0.0,0.0,73.59328123184017,0.0,0.0,,0.0,0.0,,0.0,182.98019758509295,0.0,0.0,1238.8955523495863,0.0
2021-07-01,2021-7,0.0,0.0,0.0,0.0,108.82885224587274,0.0,0.0,,0.0,0.0,,0.0,124.57458599934525,0.0,0.0,0.0,0.0
2021-08-01,2021-8,0.0,0.0,0.0,0.0,66.01750228150367,0.0,0.0,,0.0,0.0,,0.0,75.56914224224985,0.0,0.0,0.0,0.0
2021-09-01,2021-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,2021-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,95.16114208283317,0.0,0.0,0.0,0.0
2021-11-01,2021-11,0.0,0.0,0.0,0.0,77.30269709234172,0.0,0.0,,0.0,0.0,,0.0,88.22158809477315,0.0,41.70881233026369,0.0,0.0
2021-12-01,2021-12,0.0,0.0,0.0,0.0,102.52778772247429,0.0,0.0,,0.0,0.0,,0.0,108.18319310469454,0.0,55.31905635382342,0.0,54.15716166390974
2022-01-01,2022-1,0.0,0.0,0.0,0.0,123.47061687518396,237.3090177462279,0.0,,0.0,0.0,,0.0,83.59746052403396,0.0,0.0,0.0,0.0
2022-02-01,2022-2,0.0,0.0,0.0,0.0,78.1794405663676,0.0,0.0,,0.0,0.0,,0.0,123.6325609948309,0.0,0.0,0.0,0.0
2022-03-01,2022-3,0.0,0.0,0.0,0.0,66.86354071182888,0.0,0.0,,0.0,0.0,,0.0,112.58112860219956,0.0,896.587720570555,0.0,0.0
2022-04-01,2022-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,2022-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,2022-6,0.0,0.0,0.0,0.0,15.86999006980328,0.0,0.0,,0.0,0.0,,0.0,8.734549531202466,0.0,109.48563236694218,0.0,107.18604912648804
2022-07-01,2022-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,2022-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,2022-9,0.0,511.4565535287847,0.0,0.0,57.23519084932552,0.0,0.0,,0.0,0.0,,0.0,96.36944608348284,0.0,0.0,0.0,0.0
2022-10-01,2022-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,2022-11,0.0,0.0,0.0,0.0,74.92415256642353,0.0,0.0,,0.0,0.0,,0.0,79.05694880727678,0.0,0.0,0.0,0.0
2022-12-01,2022-12,0.0,0.0,0.0,0.0,87.24876653860599,0.0,0.0,,0.0,0.0,,0.0,146.90464341994337,0.0,0.0,0.0,0.0
2023-01-01,2023-1,0.0,0.0,0.0,0.0,14.372821195293534,0.0,0.0,,0.0,0.0,,0.0,15.821070848970502,0.0,0.0,0.0,0.0
2023-02-01,2023-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023-3,0.0,0.0,0.0,0.0,96.5417237665,0.0,0.0,,0.0,0.0,,0.0,110.50971338651593,0.0,0.0,0.0,0.0
2023-04-01,2023-4,0.0,0.0,1589.7750004680267,0.0,114.58988039570654,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,2023-5,0.0,541.110561295893,0.0,0.0,144.81258564975,329.5885087813428,0.0,,0.0,0.0,,0.0,82.88228503988695,0.0,0.0,0.0,0.0
2023-06-01,2023-6,0.0,0.0,0.0,0.0,167.82019271559813,0.0,1077.3864581068494,,0.0,0.0,,0.0,96.05049855089702,0.0,947.0591230328932,0.0,0.0
2023-07-01,2023-7,0.0,0.0,0.0,0.0,201.2744101496727,32.581223936001166,1239.5736668541172,,0.0,0.0,,0.0,9.01630919349932,0.0,56.50871347971211,0.0,55.32183180721964
2023-08-01,2023-8,0.0,838.7213700086342,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,2023-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,2023-10,0.0,0.0,0.0,0.0,8.103824716495293,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,54.73330168161091
2023-11-01,2023-11,1020.8653180172388,0.0,1501.454167108692,0.0,87.95731532795831,0.0,0.0,,0.0,0.0,,0.0,9.31685283328263,0.0,0.0,0.0,57.16589286746027
2023-12-01,2023-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,2024-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,2024-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
