date,ym,news_total,EPU_index,E_breadth,E_intensity,P_breadth,P_intensity,U_breadth,U_intensity,EU_index,PU_index,EP_index
2015-01-01,2015-1,154,83.21369017614232,62.7340224293469,41.62939564430882,112.02651298775231,120.70258000790818,41.65293281347693,151.10933439936036,71.1754085330397,54.443518076421384,52.58873596933302
2015-02-01,2015-2,152,0.0,148.3054302167455,44.602923904616596,189.1675767556344,173.29441843992535,84.40199543783484,75.55466719968018,0.0,110.3197603127486,186.48242557546382
2015-03-01,2015-3,186,68.8973563823974,103.88214466795078,119.68451247738787,175.20036499518253,130.08492341188426,68.97367369113385,113.33200079952029,58.93017695746298,45.07689131058545,108.85302875372696
2015-04-01,2015-4,134,0.0,72.09730935910017,41.62939564430882,71.52604892252842,186.2268377264869,0.0,0.0,0.0,0.0,90.6567015590741
2015-05-01,2015-5,156,164.2936959887938,103.21623348418186,43.710865426524265,184.3171260695925,77.59451571936955,123.35676256298939,100.73955626624026,140.52580659087326,161.23657276478642,103.82904281124726
2015-06-01,2015-6,110,0.0,117.10350853478089,46.83307009984743,104.55807878856882,42.03036268132517,0.0,0.0,0.0,0.0,110.43634553559934
2015-07-01,2015-7,162,158.20874428550513,79.5147280174438,70.24960514977114,82.82893072756994,44.339723268211166,79.19199571944996,75.55466719968018,135.32114708750757,103.50989856504805,99.98352270712698
2015-08-01,2015-8,158,0.0,101.90969888311628,49.95527477317059,157.71946483929685,71.62570681787959,40.59842818528764,75.55466719968018,0.0,53.065201163094265,128.1434389126153
2015-09-01,2015-9,172,0.0,37.445889357052025,31.222046733231615,133.73707752026243,79.21106813018974,74.58780992180753,188.88666799920045,0.0,97.49188120661503,0.0
2015-10-01,2015-10,168,76.27921599479711,95.84364537816887,81.17732150640221,114.10107804308105,211.44505533528204,152.72742031608206,94.44333399960023,130.48824897723944,49.9065582367196,96.41268261044388
2015-11-01,2015-11,194,0.0,33.19944829594303,46.83307009984743,108.690099084337,89.9390977656329,33.064699243687876,75.55466719968018,0.0,0.0,41.74569762514065
2015-12-01,2015-12,146,87.77334443236929,154.400173924283,71.36467824738655,118.16495205557435,109.92556393577352,131.8058558892215,100.73955626624026,75.07543091841174,114.85344909272456,110.94062108599022
2016-01-01,2016-1,146,0.0,132.343006220814,67.64776792200183,78.77663470371623,116.39177357905433,0.0,0.0,0.0,0.0,138.67577635748776
2016-02-01,2016-2,196,65.38218513839753,65.72135683074437,54.63858178315533,68.46064682584863,99.76437735347515,65.45460870689232,75.55466719968018,55.92353527595976,42.77704991718823,82.63944223752333
2016-03-01,2016-3,174,0.0,18.507738417853297,31.222046733231615,22.033311622112205,38.79725785968478,0.0,0.0,0.0,0.0,23.272026837003693
2016-04-01,2016-4,208,0.0,15.482435022627282,31.222046733231615,46.07928151739812,120.27149936502279,61.678381281494694,151.10933439936036,0.0,40.309143191196604,0.0
2016-05-01,2016-5,222,0.0,14.50606524642556,93.66614019969487,43.173380881165805,85.35396729130652,57.78875363311214,113.33200079952029,0.0,75.53425030422427,18.240237250624517
2016-06-01,2016-6,206,0.0,78.16374962879792,68.68850281310957,83.74797572870803,90.52693500593115,0.0,0.0,0.0,0.0,98.28477353491853
2016-07-01,2016-7,202,0.0,95.65385598138042,119.68451247738787,104.38554070475931,176.35117208947628,63.5104124086678,75.55466719968018,0.0,0.0,100.23100667422385
2016-08-01,2016-8,208,0.0,15.482435022627282,31.222046733231615,46.07928151739812,50.43643521759021,30.839190640747347,75.55466719968018,0.0,0.0,0.0
2016-09-01,2016-9,186,0.0,17.3136907779918,62.44409346646323,72.14132676272222,94.22191194494873,0.0,0.0,0.0,0.0,0.0
