date,ym,news_total,EPU_index,E_breadth,E_intensity,P_breadth,P_intensity,U_breadth,U_intensity,EU_index,PU_index,EP_index
2015-02-01,2015-2,4.0,0.0,0.0,0.0,122.11654417741433,62.21070089034755,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,26.0,0.0,71.63882220503065,126.29679316254634,123.35582639653532,145.6721008982428,61.44726428640416,253.74563850418,0.0,80.0398612271635,57.54926304589938
2015-04-01,2015-4,10.0,0.0,134.28091710166376,145.98916580309623,127.3509835189025,128.68186956823192,109.72463931601808,265.3872804758394,0.0,144.3880491166566,149.62808391933842
2015-05-01,2015-5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,9.0,0.0,0.0,0.0,105.56684582914832,81.96391174947348,121.91626590668672,589.7495121685321,0.0,160.43116568517397,0.0
2015-07-01,2015-7,11.0,0.0,0.0,0.0,43.18643693010613,59.610117635980714,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,7.0,0.0,0.0,0.0,114.0655755654082,62.0362599234791,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,8.0,0.0,37.901094798539845,5.157693458657844,119.60116221269747,174.11706001273708,137.1557991450226,258.01541157373276,0.0,180.4850613958207,41.004538430848434
2015-10-01,2015-10,3.0,0.0,0.0,0.0,158.3502687437225,74.51264704497589,731.4975954401204,294.87475608426604,0.0,962.586994111044,0.0
2015-11-01,2015-11,5.0,0.0,103.9600412628319,157.6255678179666,95.0101612462335,74.51264704497589,0.0,0.0,0.0,0.0,116.82445317465968
2015-12-01,2015-12,17.0,0.0,96.82458408264448,137.09074073290122,84.62163465717602,63.85087747462434,0.0,0.0,0.0,0.0,107.31277333177478
2016-01-01,2016-1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,1.0,0.0,519.8002063141595,157.6255678179666,158.3502687437225,44.707588226985536,0.0,0.0,0.0,0.0,584.1222658732983
2016-03-01,2016-3,6.0,0.0,173.26673543805316,315.2511356359332,52.78342291457417,111.76897056746384,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,2.0,0.0,259.90010315707974,78.8127839089833,161.70411136334494,30.325175468863726,250.19123914316384,71.05473110768766,0.0,318.5779503698427,292.06113293664913
2016-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,6.0,0.0,86.63336771902658,157.6255678179666,131.95855728643542,89.41517645397107,0.0,0.0,0.0,0.0,97.35371097888304
2016-07-01,2016-7,5.0,0.0,103.9600412628319,157.6255678179666,63.340107497489,201.1841470214349,219.44927863203617,294.87475608426604,0.0,288.7760982333132,0.0
2016-08-01,2016-8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,8.0,0.0,129.95005157853987,157.6255678179666,79.17513437186125,78.23827939722469,0.0,0.0,0.0,0.0,73.01528323416228
2016-10-01,2016-10,7.0,0.0,117.57270924321118,152.7911499879411,136.68704252879712,201.54564505609864,156.74948473716867,252.74979092937087,0.0,0.0,130.30836761715508
2016-11-01,2016-11,1.0,0.0,519.8002063141595,157.6255678179666,158.3502687437225,44.707588226985536,0.0,0.0,0.0,0.0,584.1222658732983
2016-12-01,2016-12,1.0,2507.8966417120855,519.8002063141595,157.6255678179666,158.3502687437225,89.41517645397107,1097.2463931601808,294.87475608426604,2751.0355952441864,1443.880491166566,584.1222658732983
2017-01-01,2017-1,1.0,0.0,0.0,0.0,158.3502687437225,89.41517645397107,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,1.0,0.0,0.0,0.0,158.3502687437225,89.41517645397107,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,5.0,0.0,0.0,0.0,96.35169829408248,102.16938662256462,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,5.0,0.0,0.0,0.0,0.0,0.0,219.44927863203617,294.87475608426604,0.0,0.0,0.0
2017-05-01,2017-5,6.0,417.98277361868094,86.63336771902658,315.2511356359332,105.56684582914832,89.41517645397107,182.8743988600301,294.87475608426604,458.5059325406977,240.64674852776096,97.35371097888304
2017-06-01,2017-6,6.0,0.0,173.26673543805316,315.2511356359332,131.95855728643542,196.7133881987364,0.0,0.0,0.0,0.0,194.7074219577661
2017-07-01,2017-7,6.0,0.0,0.0,0.0,131.95855728643542,89.41517645397107,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017-8,6.0,0.0,86.63336771902658,157.6255678179666,158.3502687437225,290.59932347540604,0.0,0.0,0.0,0.0,97.35371097888304
2017-09-01,2017-9,8.0,0.0,64.97502578926994,157.6255678179666,79.17513437186125,78.23827939722469,274.3115982900452,294.87475608426604,0.0,0.0,73.01528323416228
2017-10-01,2017-10,9.0,0.0,0.0,0.0,52.78342291457417,59.610117635980714,365.7487977200602,294.87475608426604,0.0,0.0,0.0
2017-11-01,2017-11,6.0,0.0,173.26673543805316,315.2511356359332,131.95855728643542,62.59062351777975,182.8743988600301,589.7495121685321,458.5059325406977,0.0,97.35371097888304
2017-12-01,2017-12,4.0,0.0,129.95005157853987,157.6255678179666,39.587567185930624,223.5379411349277,0.0,0.0,0.0,0.0,146.03056646832457
2018-01-01,2018-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018-2,5.0,0.0,207.9200825256638,236.43835172694992,31.6700537487445,89.41517645397107,0.0,0.0,0.0,0.0,116.82445317465968
2018-03-01,2018-3,5.0,0.0,0.0,0.0,95.0101612462335,89.41517645397107,0.0,0.0,0.0,0.0,0.0
2018-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,1.0,0.0,0.0,0.0,158.3502687437225,178.83035290794214,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,7.0,0.0,148.5143446611884,157.6255678179666,90.48586785355572,122.94586762421022,0.0,0.0,0.0,0.0,166.8920759637995
2018-07-01,2018-7,3.0,0.0,0.0,0.0,52.78342291457417,44.707588226985536,365.7487977200602,294.87475608426604,0.0,0.0,0.0
2018-08-01,2018-8,3.0,0.0,173.26673543805316,157.6255678179666,105.56684582914832,134.1227646809566,0.0,0.0,0.0,0.0,194.7074219577661
2018-09-01,2018-9,3.0,0.0,173.26673543805316,157.6255678179666,105.56684582914832,111.76897056746384,0.0,0.0,0.0,0.0,194.7074219577661
2018-10-01,2018-10,9.0,0.0,0.0,0.0,87.97237152429028,44.707588226985536,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,4.0,0.0,0.0,0.0,39.587567185930624,178.83035290794214,0.0,0.0,0.0,0.0,0.0
2018-12-01,2018-12,4.0,383.8538529942016,205.75224117561956,99.44355774361468,161.70411136334494,42.28224750192016,399.4072178616271,218.49210914982064,257.87857406564217,520.2590979765629,228.03964333002145
2019-01-01,2019-1,2.0,0.0,0.0,0.0,158.3502687437225,178.83035290794214,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,3.0,0.0,274.3363215674927,118.837561101732,107.8027409088966,40.433567291818306,0.0,0.0,0.0,0.0,304.05285777336195
2019-03-01,2019-3,10.0,0.0,0.0,0.0,110.84518812060575,95.80197477211186,109.72463931601808,589.7495121685321,0.0,0.0,0.0
2019-04-01,2019-4,4.0,0.0,129.95005157853987,157.6255678179666,118.76270155779189,119.22023527196144,0.0,0.0,0.0,0.0,146.03056646832457
2019-05-01,2019-5,10.0,0.0,51.98002063141595,157.6255678179666,95.0101612462335,119.22023527196144,0.0,0.0,0.0,0.0,58.41222658732983
2019-06-01,2019-6,3.0,0.0,173.26673543805316,315.2511356359332,158.3502687437225,119.22023527196144,0.0,0.0,0.0,0.0,194.7074219577661
2019-07-01,2019-7,12.0,0.0,111.90076425138648,151.36702844467985,132.51753105637252,122.37800764914716,91.43719943001508,270.3018597439105,0.0,120.32337426388048,124.690069932782
2019-08-01,2019-8,36.0,368.2167923763814,185.29691744673065,132.59141032481958,143.55066328854983,189.95979576308432,247.01188547826865,231.22255030556155,276.98987969672686,319.7201408700954,188.4749074918796
2019-09-01,2019-9,10.0,153.54154119768063,134.28091710166376,216.9206713211812,159.021037267647,243.95146266836815,50.03824782863277,14.210946221537531,103.15142962625688,63.71559007396855,149.62808391933842
2019-10-01,2019-10,8.0,191.9269264971008,167.85114637707971,217.19894467839688,99.80737861973218,88.20250609143838,62.54780978579096,17.763682776921915,128.93928703282108,79.64448759246068,114.01982166501072
2019-11-01,2019-11,10.0,0.0,51.98002063141595,157.6255678179666,95.0101612462335,111.76897056746384,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019-12,4.0,0.0,0.0,0.0,118.76270155779189,104.31770586296624,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-1,4.0,0.0,205.75224117561956,169.7961104500534,160.02719005353373,161.15760865230968,274.3115982900452,221.15606706319952,0.0,360.9701227916414,228.03964333002145
2020-02-01,2020-2,8.0,0.0,0.0,0.0,118.76270155779189,163.92782349894696,0.0,0.0,0.0,0.0,0.0
2020-03-01,2020-3,5.0,0.0,60.64175167766376,8.25230953385255,63.340107497489,71.53214116317686,0.0,0.0,0.0,0.0,0.0
2020-04-01,2020-4,2.0,1253.9483208560428,259.90010315707974,157.6255678179666,158.3502687437225,134.1227646809566,548.6231965800904,294.87475608426604,1375.5177976220932,721.940245583283,292.06113293664913
2020-05-01,2020-5,2.0,0.0,151.60437919415938,20.630773834631377,161.70411136334494,114.88967047270404,0.0,0.0,0.0,0.0,164.01815372339374
2020-06-01,2020-6,4.0,626.9741604280214,129.95005157853987,157.6255678179666,158.3502687437225,122.94586762421022,548.6231965800904,294.87475608426604,687.7588988110466,721.940245583283,146.03056646832457
2020-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,2020-8,3.0,511.80513732560206,101.0695861294396,82.5230953385255,55.019317994322456,47.82828813222574,166.79415942877588,94.73964147691686,343.8380987541895,212.3853002465618,109.34543581559582
2020-09-01,2020-9,2.0,0.0,0.0,0.0,158.3502687437225,312.95311758889875,0.0,0.0,0.0,0.0,0.0
2020-10-01,2020-10,4.0,383.8538529942016,151.60437919415938,113.46925609047256,122.11654417741433,121.3007018754549,125.09561957158192,213.16419332306296,257.87857406564217,159.28897518492136,164.01815372339374
2020-11-01,2020-11,2.0,0.0,259.90010315707974,472.87670345389984,79.17513437186125,89.41517645397107,0.0,0.0,0.0,0.0,292.06113293664913
2020-12-01,2020-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021-2,1.0,0.0,0.0,0.0,158.3502687437225,178.83035290794214,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021-3,2.0,0.0,259.90010315707974,788.1278390898331,158.3502687437225,178.83035290794214,0.0,0.0,0.0,0.0,292.06113293664913
2021-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,2021-5,1.0,0.0,0.0,0.0,158.3502687437225,402.3682940428698,0.0,0.0,0.0,0.0,0.0
2021-06-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,2021-9,3.0,0.0,173.26673543805316,788.1278390898331,158.3502687437225,134.1227646809566,365.7487977200602,589.7495121685321,0.0,481.2934970555219,194.7074219577661
2021-10-01,2021-10,3.0,0.0,202.1391722588792,206.30773834631376,110.03863598864493,249.76994913495665,365.7487977200602,98.291585361422,0.0,0.0,218.69087163119164
2021-11-01,2021-11,5.0,0.0,103.9600412628319,252.2009085087466,159.69180579157148,182.64304543113855,0.0,0.0,0.0,0.0,116.82445317465968
2021-12-01,2021-12,1.0,0.0,0.0,0.0,158.3502687437225,312.95311758889875,0.0,0.0,0.0,0.0,0.0
2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,2022-2,3.0,0.0,101.0695861294396,13.753849223087585,52.78342291457417,59.61011763598072,0.0,0.0,0.0,0.0,0.0
2022-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,2022-4,2.0,0.0,0.0,0.0,161.70411136334494,52.678969582356494,0.0,0.0,0.0,0.0,0.0
2022-05-01,2022-5,2.0,0.0,0.0,0.0,158.3502687437225,178.83035290794214,0.0,0.0,0.0,0.0,0.0
