date,ym,imf_absolute,imf_framing,world_bank_absolute,world_bank_framing,central_bank_absolute,central_bank_framing,finance_ministry_absolute,finance_ministry_framing,government_absolute,government_framing,parliament_absolute,parliament_framing,multilateral_development_bank_absolute,multilateral_development_bank_framing,credit_rating_agency_absolute,credit_rating_agency_framing,international_investors_absolute,international_investors_framing,commercial_banks_absolute,commercial_banks_framing,state_owned_enterprises_absolute,state_owned_enterprises_framing,labor_unions_absolute,labor_unions_framing,international_organizations_absolute,international_organizations_framing,courts_judiciary_absolute,courts_judiciary_framing,military_security_absolute,military_security_framing,us_government_absolute,us_government_framing,china_government_absolute,china_government_framing
2015-02-01,2015-2,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2015-03-01,2015-3,,,,,,,,,86.95627016331969,498.1210677195383,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,134.33723988097006,617.8525977364607,,,,,0.0,0.0,0.0,0.0
2015-04-01,2015-4,,,,,,,,,154.736596127322,416.12186638876176,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2015-05-01,2015-5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2015-06-01,2015-6,,,,,,,,,171.92955125257996,462.35762932084634,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,269.09622314753875,623.6526833716373,,,,,0.0,0.0,0.0,0.0
2015-07-01,2015-7,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2015-08-01,2015-8,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2015-09-01,2015-9,,,,,,,,,193.4207451591525,404.56292565574057,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,302.7332510409811,545.6960979501827,,,,,0.0,0.0,0.0,0.0
2015-10-01,2015-10,,,,,,,,,1031.5773075154798,462.35762932084634,0.0,0.0,4057.142857142857,2840.0,,,,,,,7100.0,7099.999999999999,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2015-11-01,2015-11,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2015-12-01,2015-12,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-01-01,2016-1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-02-01,2016-2,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-03-01,2016-3,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-04-01,2016-4,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-05-01,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-06-01,2016-6,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-07-01,2016-7,,,,,,,,,309.473192254644,462.35762932084634,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,484.3732016655698,623.6526833716373,,,,,0.0,0.0,0.0,0.0
2016-08-01,2016-8,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-09-01,2016-9,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2016-10-01,2016-10,,,,,,,,,221.05228018188853,396.3065394178683,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,345.9808583325498,534.5594428899748,,,,,0.0,0.0,0.0,0.0
2016-11-01,2016-11,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
