date,ym,vietnam_net_body_count,vietnam_net_epu_count,vietnam_net_ratio,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_dan_tri_body_count,vietnam_dan_tri_epu_count,vietnam_dan_tri_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_net_weights,vietnam_tuoi_tre_weights,vietnam_dan_tri_weights,vietnam_news_weights,vietnam_net_z_score,vietnam_tuoi_tre_z_score,vietnam_dan_tri_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,90,0.0,0.0,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,0.28391167192429023,0.7160883280757098,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,53,0.0,0.0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.2623762376237624,0.7376237623762376,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,82,0.0,0.0,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.23699421965317918,0.7630057803468208,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,85,0.0,0.0,213,1.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.28523489932885904,0.714765100671141,0.0,0.0,,0.812561308571448,,0.0,0.406280654285724,0.5807904655225451,110.82177347237818,47.81122015859599,110.82177347237818
2015-05-01,2015-5,159,0.0,0.0,235,1.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.4035532994923858,0.5964467005076142,0.0,0.0,,0.7364917392583763,,0.0,0.36824586962918815,0.43927806783177265,83.81951394611345,43.3352761437487,83.81951394611345
2015-06-01,2015-6,117,0.0,0.0,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.37261146496815284,0.6273885350318471,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,89,0.0,0.0,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.30689655172413793,0.6931034482758621,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,109,0.0,0.0,218,1.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.3333333333333333,0.6666666666666666,0.0,0.0,,0.793924581310635,,0.0,0.3969622906553175,0.52928305420709,100.99354279745779,46.71463254027957,100.99354279745779
2015-09-01,2015-9,141,0.0,0.0,177,1.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.44339622641509435,0.5566037735849056,0.0,0.0,,0.9778280153995391,,0.0,0.48891400769976956,0.5442627632884227,103.85185061248018,57.53553612305618,103.85185061248018
2015-10-01,2015-10,139,0.0,0.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.4174174174174174,0.5825825825825826,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,211,0.0,0.0,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.4762979683972912,0.5237020316027088,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,139,0.0,0.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.43573667711598746,0.5642633228840125,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,189,0.0,0.0,164,1.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.5354107648725213,0.46458923512747874,0.0,0.0,,1.0553387727177954,,0.0,0.5276693863588977,0.4902990332173327,93.55492491435892,62.09627984012772,93.55492491435892
2016-02-01,2016-2,122,0.0,0.0,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.45185185185185184,0.5481481481481482,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,62,0.0,0.0,219,0.0,0.0,0.0,0.0,0.0,199.0,1.0,0.005025125628140704,480.0,0.12916666666666668,0.45625,0.0,0.41458333333333336,,0.0,,0.7022973587586946,0.3511486793793473,0.2911607799853755,55.55696231092432,41.323274049861986,55.55696231092432
2016-04-01,2016-4,143,0.0,0.0,205,0.0,0.0,0.0,0.0,0.0,271.0,3.0,0.01107011070110701,619.0,0.2310177705977383,0.33117932148626816,0.0,0.4378029079159935,,0.0,,1.547127391804209,0.7735636959021045,0.6773368710483694,129.24398340505817,91.0331904345668,129.24398340505817
2016-05-01,2016-5,270,0.0,0.0,234,0.0,0.0,0.0,0.0,0.0,207.0,1.0,0.004830917874396135,711.0,0.379746835443038,0.3291139240506329,0.0,0.2911392405063291,,0.0,,0.675155431850146,0.337577715925073,0.19656423965257416,37.50680999893625,39.7262393039736,37.50680999893625
2016-06-01,2016-6,200,0.0,0.0,223,1.0,0.004484304932735426,0.0,0.0,0.0,208.0,4.0,0.019230769230769232,631.0,0.31695721077654515,0.35340729001584786,0.0,0.329635499207607,,0.776123581729679,,2.687637969095774,1.7318807754127263,1.1602286153686836,221.38550892510838,203.80821033005645,221.38550892510838
2016-07-01,2016-7,306,0.0,0.0,212,0.0,0.0,0.0,0.0,0.0,252.0,4.0,0.015873015873015872,770.0,0.3974025974025974,0.2753246753246753,0.0,0.32727272727272727,,0.0,,2.2183678475076225,1.1091839237538113,0.7260112955479492,138.5316462817853,130.5290719987704,138.5316462817853
2016-08-01,2016-8,212,0.0,0.0,222,0.0,0.0,0.0,0.0,0.0,243.0,3.0,0.012345679012345678,677.0,0.31314623338257014,0.32791728212703103,0.0,0.35893648449039883,,0.0,,1.7253972147281509,0.8626986073640754,0.6193080106040483,118.17138216799263,101.5226115545992,118.17138216799263
2016-09-01,2016-9,208,0.0,0.0,191,0.0,0.0,0.0,0.0,0.0,246.0,1.0,0.0040650406504065045,645.0,0.32248062015503876,0.2961240310077519,0.0,0.3813953488372093,,0.0,,0.5681185950934156,0.2840592975467078,0.2166777897565585,41.34471613836228,33.42817697529486,41.34471613836228
2016-10-01,2016-10,224,0.0,0.0,193,1.0,0.0051813471502590676,0.0,0.0,0.0,248.0,2.0,0.008064516129032258,665.0,0.3368421052631579,0.29022556390977444,0.0,0.37293233082706767,,0.8967645529829971,,1.1270739870401631,1.01191927001158,0.6805863270852315,129.86401851617453,119.08294055080587,129.86401851617453
2016-11-01,2016-11,315,0.0,0.0,188,1.0,0.005319148936170213,0.0,0.0,0.0,283.0,4.0,0.014134275618374558,786.0,0.40076335877862596,0.23918575063613232,0.0,0.36005089058524176,,0.9206146740729704,,1.9753664225156216,1.447990548294296,0.9314303515237141,177.72806123631472,170.39992960968638,177.72806123631472
2016-12-01,2016-12,139,0.0,0.0,198,1.0,0.005050505050505051,0.0,0.0,0.0,279.0,4.0,0.014336917562724014,616.0,0.22564935064935066,0.32142857142857145,0.0,0.45292207792207795,,0.8741189834632245,,2.003687088071401,1.4389030357673127,1.1884809355481158,226.77638982425876,169.33050861329298,226.77638982425876
2017-01-01,2017-1,212,0.0,0.0,170,0.0,0.0,0.0,0.0,0.0,224.0,2.0,0.008928571428571428,606.0,0.34983498349834985,0.28052805280528054,0.0,0.3696369636963696,,0.0,,1.2478319142230376,0.6239159571115188,0.4612447999768324,88.01102940344445,73.42260299930834,88.01102940344445
2017-02-01,2017-2,178,0.0,0.0,180,0.0,0.0,0.0,0.0,0.0,293.0,2.0,0.006825938566552901,651.0,0.27342549923195086,0.2764976958525346,0.0,0.4500768049155146,,0.0,,0.9539738866415033,0.47698694332075164,0.4293615188724431,81.92731769352895,56.13195587660434,81.92731769352895
2017-03-01,2017-3,211,0.0,0.0,190,1.0,0.005263157894736842,0.0,0.0,0.0,312.0,3.0,0.009615384615384616,713.0,0.2959326788218794,0.2664796633941094,0.0,0.4375876577840112,,0.9109239932932548,,1.343818984547887,1.1273714889205708,0.8307813210444026,158.52302134992945,132.66938971551113,158.52302134992945
2017-04-01,2017-4,213,0.0,0.0,185,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,680.0,0.31323529411764706,0.27205882352941174,0.0,0.4147058823529412,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,264,0.0,0.0,196,1.0,0.00510204081632653,0.0,0.0,0.0,293.0,5.0,0.017064846416382253,753.0,0.350597609561753,0.2602921646746348,0.0,0.3891102257636122,,0.8830385649271347,,2.384934716603758,1.6339866407654464,1.1578505055652317,220.9317371062245,192.28800139447483,220.9317371062245
2017-06-01,2017-6,301,0.0,0.0,202,1.0,0.0049504950495049506,0.0,0.0,0.0,294.0,3.0,0.01020408163265306,797.0,0.37766624843161856,0.2534504391468005,0.0,0.36888331242158096,,0.8568096966619724,,1.4260936162549,1.1414516564584363,0.7432209308715922,141.81545071831832,134.32634773928493,141.81545071831832
