country,n,leaves,owner
guinea_bissau,49,1.0,WILLIAM
gibraltar,39,1.0,JERO
syria,37,1.0,WILLIAM
chad,58,2.0,JERO
liberia,29,2.0,WILLIAM
eswatini,32,3.0,JERO
american_samoa,48,4.0,WILLIAM
botswana,109,5.0,JERO
gambia,42,5.0,WILLIAM
libya,9,6.0,JERO
greenland,31,7.0,WILLIAM
liechtenstein,8,9.0,JERO
central_african_republic,32,10.0,WILLIAM
south_sudan,38,14.0,JERO
palau,58,17.0,WILLIAM
marshall_islands,37,17.0,JERO
korea_dem_peoples_rep,6,18.0,WILLIAM
kiribati,32,20.0,JERO
cote_divoire,21,20.0,WILLIAM
sierra_leone,46,21.0,JERO
burkina_faso,18,21.0,WILLIAM
congo_rep,12,22.0,JERO
niger,9,23.0,WILLIAM
guinea,55,27.0,JERO
micronesia_fed_sts,6,28.0,WILLIAM
suriname,14,32.0,JERO
iraq,5,33.0,WILLIAM
comoros,2,33.0,JERO
solomon_islands,7,34.0,WILLIAM
sudan,20,36.0,JERO
burundi,1,37.0,WILLIAM
cameroon,1,37.0,JERO
angola,8,38.0,WILLIAM
timor_leste,5,41.0,JERO
norway,3,43.0,WILLIAM
iceland,1,43.0,JERO
tuvalu,6,44.0,WILLIAM
yemen,7,46.0,JERO
gabon,7,48.0,WILLIAM
afghanistan,39,49.0,JERO
haiti,8,49.0,WILLIAM
bahamas_the,8,52.0,JERO
tanzania,8,56.0,WILLIAM
ethiopia,2,58.0,JERO
kuwait,1,59.0,WILLIAM
belize,8,60.0,JERO
rwanda,5,61.0,WILLIAM
belgium,10,63.0,JERO
french_polynesia,6,63.0,WILLIAM
lesotho,1,64.0,JERO
tunisia,2,65.0,WILLIAM
uzbekistan,4,66.0,JERO
malawi,2,66.0,WILLIAM
antigua_and_barbuda,6,67.0,JERO
qatar,5,67.0,WILLIAM
nauru,1,67.0,JERO
iran,6,69.0,WILLIAM
algeria,6,70.0,JERO
georgia,6,71.0,WILLIAM
albania,9,73.0,JERO
sint_maarten_dutch_part,2,75.0,WILLIAM
zambia,7,76.0,JERO
mauritania,6,77.0,WILLIAM
somalia,1,77.0,JERO
