Country,ISO3,WB_Region,Subregion
China,CHN,East Asia & Pacific,East Asia
"Hong Kong SAR, China",HKG,East Asia & Pacific,East Asia
Japan,JPN,East Asia & Pacific,East Asia
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,East Asia
"Korea, Rep.",KOR,East Asia & Pacific,East Asia
"Macao SAR, China",MAC,East Asia & Pacific,East Asia
Mongolia,MNG,East Asia & Pacific,East Asia
"Taiwan, China",TWN,East Asia & Pacific,East Asia
American Samoa,ASM,East Asia & Pacific,Pacific Islands
Australia,AUS,East Asia & Pacific,Pacific Islands
Fiji,FJI,East Asia & Pacific,Pacific Islands
French Polynesia,PYF,East Asia & Pacific,Pacific Islands
Guam,GUM,East Asia & Pacific,Pacific Islands
Kiribati,KIR,East Asia & Pacific,Pacific Islands
Marshall Islands,MHL,East Asia & Pacific,Pacific Islands
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Pacific Islands
Nauru,NRU,East Asia & Pacific,Pacific Islands
New Caledonia,NCL,East Asia & Pacific,Pacific Islands
New Zealand,NZL,East Asia & Pacific,Pacific Islands
Northern Mariana Islands,MNP,East Asia & Pacific,Pacific Islands
Palau,PLW,East Asia & Pacific,Pacific Islands
Papua New Guinea,PNG,East Asia & Pacific,Pacific Islands
Samoa,WSM,East Asia & Pacific,Pacific Islands
Solomon Islands,SLB,East Asia & Pacific,Pacific Islands
Tonga,TON,East Asia & Pacific,Pacific Islands
Tuvalu,TUV,East Asia & Pacific,Pacific Islands
Vanuatu,VUT,East Asia & Pacific,Pacific Islands
Brunei Darussalam,BRN,East Asia & Pacific,Southeast Asia
Cambodia,KHM,East Asia & Pacific,Southeast Asia
Indonesia,IDN,East Asia & Pacific,Southeast Asia
Lao PDR,LAO,East Asia & Pacific,Southeast Asia
Malaysia,MYS,East Asia & Pacific,Southeast Asia
Myanmar,MMR,East Asia & Pacific,Southeast Asia
Philippines,PHL,East Asia & Pacific,Southeast Asia
Singapore,SGP,East Asia & Pacific,Southeast Asia
Thailand,THA,East Asia & Pacific,Southeast Asia
Timor-Leste,TLS,East Asia & Pacific,Southeast Asia
Vietnam,VNM,East Asia & Pacific,Southeast Asia
Kazakhstan,KAZ,Europe & Central Asia,Central Asia
Kyrgyz Republic,KGZ,Europe & Central Asia,Central Asia
Tajikistan,TJK,Europe & Central Asia,Central Asia
Turkmenistan,TKM,Europe & Central Asia,Central Asia
Uzbekistan,UZB,Europe & Central Asia,Central Asia
Croatia,HRV,Europe & Central Asia,Central Europe
Czech Republic,CZE,Europe & Central Asia,Central Europe
Estonia,EST,Europe & Central Asia,Central Europe
Hungary,HUN,Europe & Central Asia,Central Europe
Latvia,LVA,Europe & Central Asia,Central Europe
Lithuania,LTU,Europe & Central Asia,Central Europe
Poland,POL,Europe & Central Asia,Central Europe
Slovak Republic,SVK,Europe & Central Asia,Central Europe
Slovenia,SVN,Europe & Central Asia,Central Europe
Belarus,BLR,Europe & Central Asia,Eastern Europe
Bulgaria,BGR,Europe & Central Asia,Eastern Europe
Moldova,MDA,Europe & Central Asia,Eastern Europe
Romania,ROU,Europe & Central Asia,Eastern Europe
Russian Federation,RUS,Europe & Central Asia,Eastern Europe
Ukraine,UKR,Europe & Central Asia,Eastern Europe
Armenia,ARM,Europe & Central Asia,South Caucasus
Azerbaijan,AZE,Europe & Central Asia,South Caucasus
Georgia,GEO,Europe & Central Asia,South Caucasus
Turkiye,TUR,Europe & Central Asia,Southern Europe
Albania,ALB,Europe & Central Asia,Western Balkans
Bosnia and Herzegovina,BIH,Europe & Central Asia,Western Balkans
Kosovo,XKX,Europe & Central Asia,Western Balkans
Montenegro,MNE,Europe & Central Asia,Western Balkans
